Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Edouard Julien,COL,87,378,322,80,54,15,2,9,43,38,50,1,107,4,2,1,,4,2,0.249309,0.131346,0.282955,0.464193,0.353838,0.394935,0.331611,0.748773,0.145625,4.20719,0.34115,-0.231803,-0.548819,50.3585,5.69487,99.0966,-0.780622,-2.23236,-1.1853700578212738,-2.082356095314026,0.952368,748.3400268554688,,,,,,,429.5,4.936781609,429.5,4.936781609,,,,,,,,,,,,,,,,,,,Rockies,27534,666397
Logan O'Hoppe,LAA,113,452,412,96,62,13,1,19,48,55,31,0,126,5,2,1,,2,2,0.232093,0.0693388,0.279846,0.247774,0.292539,0.409346,0.304966,0.701885,0.177253,3.05564,0.284344,-0.775144,-0.791884,50.394,-2.96601,93.4451,-1.56703,-3.80364,-5.055940866470337,3.1463592052459717,0.947501,245.11000061035156,,,,,,,453.8,4.015929203,453.8,4.015929203,,,,,,,,,,,,,,,,,,,Angels,24729,681351
José Caballero,NYY,71,308,267,59,40,12,1,6,37,29,31,0,78,6,2,2,,31,8,0.22028,0.101713,0.2529,0.402188,0.313551,0.334437,0.291309,0.647989,0.114158,6.71838,0.286831,-0.00782129,2.29019,30.9547,-5.43792,86.3441,2.28237,-0.885922,-2.6749267578125,1.1640776991844177,0.930022,201.7100067138672,,,,,,,307.8,4.335211267,307.8,4.335211267,,,,,,,,,,,,,,,,,,,Yankees,23401,676609
Brooks Baldwin,CHW,73,315,288,72,48,13,1,10,36,38,21,0,71,2,2,2,,6,2,0.251309,0.0675273,0.226034,0.298748,0.305026,0.412247,0.311399,0.717273,0.160938,4.51404,0.297584,0.122669,-0.032114,36.7961,-0.42359,98.7976,0.0905551,-0.833132,-0.35585177689790726,-1.4081324934959412,0.928773,747.989990234375,,,,,,,327.4,4.484931506,327.4,4.484931506,,,,,,,,,,,,,,,,,,,White Sox,31394,681460
Luisangel Acuña,CHW,99,427,394,99,75,17,2,5,51,36,26,0,79,2,3,2,,23,6,0.250988,0.0609143,0.183984,0.331084,0.299305,0.340026,0.282414,0.639332,0.0890383,6.15632,0.299671,0.260783,1.49464,39.8307,-10.6227,78.8312,1.75543,1.5184,-8.898174166679382,3.2434029579162598,0.925097,397.0799865722656,,,,,,,379.0,3.828282828,379.0,3.828282828,,,,,,,,,,,,,,,,,,,White Sox,26548,682668
CJ Kayfus,CLE,78,336,297,72,45,15,3,9,39,40,31,0,92,5,3,1,,4,1,0.243668,0.0909349,0.274412,0.331381,0.321336,0.411346,0.31984,0.732682,0.167678,5.08768,0.317905,0.088884,-0.267065,41.5519,1.85089,106.054,-0.178181,0.244146,2.2193315625190735,-4.755853787064552,0.923683,999.0,,,,,,,364.2,4.669230769,364.2,4.669230769,,,,,,,,,,,,,,,,,,,Guardians,33704,692216
Luis Rengifo,MIL,102,441,405,102,73,16,3,10,46,46,28,0,80,4,2,1,,11,4,0.251136,0.063885,0.181326,0.352321,0.304561,0.375505,0.298169,0.680067,0.12437,5.04653,0.289669,0.387905,-0.386928,46.7777,-5.3298,90.5954,0.000977874,-2.32199,-4.914569973712787,-0.7469940185546875,0.921898,632.8300170898438,,,,,,,429.4,4.209803921,429.4,4.209803921,,,,,,,,,,,,,,,,,,,Brewers,19858,650859
Austin Hays,CHW,112,483,441,108,67,23,3,16,59,57,33,1,121,5,5,0,,6,1,0.246001,0.0674867,0.249701,0.27027,0.301794,0.418082,0.310223,0.719876,0.172081,4.9219,0.300268,-0.020023,-0.117564,55.9595,-1.11063,97.9876,-0.137587,-0.770544,-1.2832042574882507,-6.345543384552002,0.920335,587.9299926757812,,,,,,,520.6,4.648214285,520.6,4.648214285,,,,,,,,,,,,,,,,,,,White Sox,19363,669720
Blaze Alexander,BAL,60,259,228,53,35,10,1,6,28,28,22,0,78,6,2,1,,5,2,0.231998,0.0858729,0.299502,0.286719,0.314101,0.365486,0.301579,0.679587,0.133488,4.6721,0.320974,0.0546933,-0.350576,28.1895,-2.41332,93.7344,-0.295883,1.40748,-2.2085328698158264,2.282475709915161,0.919616,745.4600219726562,,,,,,,247.8,4.13,247.8,4.13,,,,,,,,,,,,,,,,,,,Orioles,23789,677942
Trevor Larnach,MIN,96,413,364,91,59,18,1,13,48,47,42,1,97,3,4,0,,3,2,0.248651,0.100603,0.234438,0.429125,0.32726,0.41002,0.321176,0.737279,0.161369,3.28407,0.300213,-0.20539,-0.641012,51.5222,2.72308,105.032,-0.846402,-0.320526,1.6030153632164001,-6.9455258548259735,0.907745,748.2999877929688,,,,,,,460.8,4.8,460.8,4.8,,,,,,,,,,,,,,,,,,,Twins,21501,663616
Jake McCarthy,COL,81,350,316,87,62,14,4,6,45,34,24,0,58,6,2,2,,14,3,0.275019,0.0685767,0.165804,0.4136,0.336363,0.405804,0.324847,0.742166,0.130784,7.02175,0.318642,0.378689,0.937947,44.7061,3.35094,94.463,1.31664,0.937121,-0.9802173376083374,-1.8128791451454163,0.905618,531.1300048828125,,,,,,,399.2,4.928395061,399.2,4.928395061,,,,,,,,,,,,,,,,,,,Rockies,21622,664983
Mickey Moniak,COL,112,483,451,120,71,22,6,21,62,69,24,1,119,4,3,0,,9,4,0.266336,0.0496307,0.245898,0.201834,0.307899,0.481299,0.336087,0.789198,0.214964,5.84081,0.315402,-0.155237,-0.444448,66.102,9.03185,102.162,-0.599685,0.271494,0.6382136344909668,-7.90350666642189,0.900783,244.67999267578125,,,,,,,606.3,5.413392857,606.3,5.413392857,,,,,,,,,,,,,,,,,,,Rockies,19956,666160
