Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Juan Yepez,,4.919,14.559,13.2972,3.11487,2.07051,0.625825,0.0175309,0.40101,1.52197,1.61692,0.984617,0.01972,2.47077,0.117542,0.130731,0.0289395,0.277888,0.0757875,0.0218509,0.234251,0.0676294,0.169708,0.398506,0.290228,0.374425,0.28996,0.664653,0.140174,2.93507,0.257089,,-0.0146056,1.44726,-0.272996,84.8901,-0.0146056,0.0,-0.2738842722028494,-0.2674713432788849,-0.00411895,999.0,,,,,,,9.7,1.94,9.7,1.94,,,,,,,,,,,,,,,,,,,,18400,660766
Kevin Alcántara,CHC,17.602,51.351,47.2646,11.0913,7.7408,2.03013,0.119687,1.20069,5.46113,5.27231,3.37845,0.108367,14.6135,0.327672,0.298472,0.0817993,0.937314,0.861065,0.243775,0.234664,0.0657913,0.28458,0.231187,0.288622,0.358892,0.283535,0.647514,0.124228,4.28765,0.311526,,-0.0024703,4.83678,-1.23074,81.6083,-0.0024703,-0.18,-1.1218202533200383,-0.6327263414859772,-0.0047152,999.0,,,,,,,40.7,2.261111111,40.7,2.261111111,,,,,,,,,,,,,,,,,,,Cubs,25971,682634
Jacob Amaya,ARI,5.669,14.488,13.2627,2.80945,2.00753,0.54272,0.0463225,0.212875,1.37184,1.29704,1.01235,0.000563149,3.84787,0.0730402,0.106028,0.033931,0.264567,0.186395,0.0694721,0.211832,0.0698748,0.26559,0.263093,0.269463,0.30789,0.256713,0.577353,0.0960583,4.21757,0.278964,,-0.0115857,1.04912,-0.662747,60.4575,-0.0115857,0.0,-0.6905812183395028,0.1597001701593399,-0.00499917,999.0,,,,,,,9.7,1.616666666,9.7,1.616666666,,,,,,,,,,,,,,,,,,,Diamondbacks,23296,676070
Justin Dean,CHC,15.185,25.084,22.7866,4.63341,3.49271,0.763341,0.078664,0.298689,2.60607,1.71694,1.79977,0.000975015,7.80346,0.281153,0.13444,0.0819945,0.409727,1.07582,0.271659,0.203339,0.0717499,0.311093,0.230638,0.268552,0.283067,0.2487,0.551619,0.0797281,5.93993,0.292512,,0.0671255,1.65321,-1.31065,57.7446,0.0671255,0.06,-1.1891159415245056,0.2943364195525646,-0.00616215,999.0,,,,,,,15.8,1.053333333,15.8,1.053333333,,,,,,,,,,,,,,,,,,,Cubs,25005,681909
Kameron Misner,KCR,13.628,50.484,45.0814,9.24552,5.76833,2.08089,0.265158,1.13114,5.54739,4.68778,4.57522,0.0597014,16.0864,0.369562,0.324665,0.133172,0.60911,1.44381,0.312043,0.205085,0.090627,0.318643,0.284415,0.281828,0.33828,0.274585,0.620109,0.133195,5.88855,0.287861,,0.0906445,4.38826,-1.57682,70.6785,0.0906445,0.15,-1.6540246978402138,-0.14443209767341614,-0.00622873,999.0,,,,,,,37.5,2.678571428,37.5,2.678571428,,,,,,,,,,,,,,,,,,,Royals,26374,670224
Jason Delay,BOS,4.304,12.681,11.6954,2.53817,1.89567,0.500433,0.0239115,0.118156,1.03611,1.04354,0.679092,0.00277257,2.79788,0.12301,0.0847582,0.0947383,0.244692,0.0677521,0.0218152,0.217024,0.0535519,0.220636,0.242717,0.265476,0.29421,0.249167,0.559686,0.0771866,3.15343,0.273014,,-0.0131748,0.840584,-0.657774,51.9897,-0.0131748,0.0,-0.7307380875572562,0.23296956717967987,-0.00627269,999.0,,,,,,,10.7,2.675,10.7,2.675,,,,,,,,,,,,,,,,,,,Red Sox,19806,641511
Richie Palacios,TBR,46.128,170.186,150.549,33.9849,23.7196,6.79639,0.542604,2.9263,18.0463,14.7965,15.9151,0.478134,32.994,1.75949,1.15767,0.804321,2.96165,4.61102,1.23989,0.225739,0.0935156,0.19387,0.482362,0.304989,0.336404,0.285406,0.641393,0.110665,4.99394,0.26824,,0.144334,16.2883,-3.82047,80.2668,0.144334,-0.58,-3.813835248351097,-2.105396807193756,-0.00631333,999.0,,,,,,,154.3,3.354347826,154.3,3.354347826,,,,,,,,,,,,,,,,,,,Rays,24589,680700
Jared Oliva,SFG,6.072,26.632,24.567,5.48219,3.93221,1.00871,0.110624,0.430645,3.0929,1.98011,1.45761,0.0168266,6.40878,0.315983,0.142155,0.149295,0.373948,1.35174,0.323151,0.223153,0.0547316,0.240642,0.22744,0.273982,0.325807,0.264863,0.599789,0.102654,6.66133,0.282688,,0.100456,2.10473,-1.04205,69.4179,0.100456,0.01,-0.8648495450615883,-0.08370370231568813,-0.00639454,999.0,,,,,,,10.8,1.8,10.8,1.8,,,,,,,,,,,,,,,,,,,Giants,19968,666931
Leandro Cedeño,SDP,1.422,6.411,5.94087,1.41905,0.95899,0.289846,0.0124704,0.157746,0.631719,0.763857,0.351355,0.0297924,1.73869,0.0653716,0.0452487,0.00815864,0.117493,0.0171491,0.00696597,0.238863,0.054805,0.271204,0.202081,0.286713,0.371508,0.285547,0.658221,0.132645,2.68373,0.308412,,-0.00830821,0.614326,-0.143183,80.2098,-0.00830821,0.0,-0.15868099965155125,-0.11777997761964798,-0.00646262,999.0,,,,,,,-0.4,-0.4,-0.4,-0.4,,,,,,,,,,,,,,,,,,,Padres,sa873307,660681
Spencer Jones,NYY,9.498,35.903,32.7817,6.84147,4.13581,1.33183,0.130611,1.24321,4.18783,3.74025,2.6597,0.0740219,13.8836,0.261098,0.162496,0.0379956,0.425602,0.932454,0.251424,0.208698,0.0740802,0.386696,0.191572,0.272195,0.371066,0.280329,0.64326,0.162368,5.56325,0.314201,,0.0374314,3.28824,-0.953971,78.7799,0.0374314,0.0,-0.8605147413909435,-0.4397222399711609,-0.0066006,999.0,,,,,,,29.4,3.266666666,29.4,3.266666666,,,,,,,,,,,,,,,,,,,Yankees,sa3019969,682987
