Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Brendon Little,TOR,RP,53.6,58,3,0,3.55,1.36,21,45,28,4,56,0,2,0,3%
Justin Topa,MIN,RP,61.9,51,3,5,4.05,1.33,28,63,20,6,61,0,3,0,0%
Anthony Bender,MIA,RP,58.7,55,3,1,3.92,1.3,26,54,23,6,60,0,3,0,1%
Patrick Sandoval,BOS,SP,77.8,71,4,0,4.11,1.39,36,75,33,8,38,9,4,0,0%
Sean Newcomb,CWS,"SP,RP",67.9,64,3,1,4.0,1.35,30,63,28,7,55,1,3,0,0%
Brusdar Graterol,LAD,RP,41.2,34,3,0,3.45,1.19,16,38,12,3,40,0,1,0,0%
Danny Coulombe,BOS,RP,50.3,49,3,0,3.81,1.26,21,45,18,6,54,0,2,0,0%
Jose Butto,SF,"SP,RP",63.9,58,3,2,4.05,1.33,29,58,27,7,58,0,3,0,1%
John Schreiber,KC,RP,62.4,58,3,1,4.12,1.3,29,58,23,8,66,0,3,0,1%
Jake Bird,NYY,RP,54.9,57,3,0,3.95,1.3,24,48,23,6,52,0,3,0,0%
Pierce Johnson,CIN,RP,60.2,66,3,1,4.24,1.31,28,55,24,9,61,0,3,0,0%
Corbin Burnes (ARI - SP) IL60,,,44.2,40,3,0,3.68,1.22,18,40,14,5,7,7,2,0,26%
Bennett Sousa,HOU,RP,41.2,45,2,1,3.58,1.19,16,35,14,5,38,0,2,0,1%
Justin Wrobleski,LAD,RP,60.9,56,4,0,4.27,1.31,29,59,21,8,35,4,3,0,1%
Tyler Alexander,TEX,"SP,RP",69.2,58,4,1,4.56,1.28,35,70,19,11,53,2,4,0,0%
Jake Irvin,WSH,SP,122.1,90,6,0,4.85,1.36,66,126,40,20,31,20,8,0,0%
"Troy Melton (DET - SP,RP) IL60",,,55.8,51,3,0,4.08,1.26,25,52,18,8,31,5,3,0,2%
PJ Poulin,WSH,RP,56.7,56,3,2,4.02,1.34,25,52,24,6,57,0,3,0,0%
Payton Tolle,BOS,"SP,RP",49.8,52,3,0,4.1,1.25,23,45,17,7,23,6,3,0,4%
David Morgan,SD,RP,58.6,60,3,0,4.11,1.31,27,52,25,7,55,0,3,0,0%
Tim Herrin,CLE,RP,52.9,54,3,0,3.85,1.33,23,46,25,5,56,0,3,0,0%
Connelly Early,BOS,SP,44.7,45,3,0,3.72,1.28,18,40,17,4,15,7,2,0,21%
Nick Mears,KC,RP,59.7,58,3,0,4.16,1.3,28,55,23,7,61,0,3,0,0%
Elvis Alvarado,ATH,RP,59.7,63,3,3,4.23,1.37,28,52,29,8,57,0,3,0,0%
Jovani Moran,BOS,RP,47.0,51,3,0,3.82,1.32,20,42,20,5,45,0,2,0,0%
Jimmy Herget,COL,RP,74.5,68,3,2,4.46,1.33,37,75,24,11,68,0,4,0,0%
Wandy Peralta,SD,RP,58.1,50,3,0,3.85,1.34,25,53,24,6,60,0,3,0,0%
Jonathan Bowlan,PHI,RP,55.8,53,3,0,4.14,1.29,26,53,19,8,50,0,3,0,0%
Grant Anderson,MIL,RP,57.3,58,3,0,4.18,1.31,27,52,22,8,56,0,3,0,0%
Cooper Criswell,SEA,RP,60.5,50,3,0,4.08,1.3,27,59,19,7,41,3,3,0,0%
Joel Payamps,ATL,RP,52.2,49,3,0,4.11,1.27,24,50,16,7,53,0,2,0,0%
Brenan Hanifee,DET,RP,58.6,44,3,0,3.95,1.3,26,59,17,6,55,0,3,0,0%
Jonathan Loaisiga (ARI - RP) MiLB,,,51.1,42,3,2,3.95,1.31,22,51,16,5,51,0,2,0,0%
David Festa,MIN,SP,51.4,52,3,0,4.17,1.28,24,48,18,7,21,7,3,0,0%
Emerson Hancock,SEA,"SP,RP",68.5,54,4,0,4.42,1.32,34,68,23,10,35,7,3,0,0%
Brock Burke,CIN,RP,61.9,56,3,0,4.21,1.31,29,60,21,8,63,0,3,0,0%
Enyel De Los Santos,HOU,RP,59.4,57,3,0,4.32,1.29,29,55,22,9,59,0,3,0,0%
Robert Stephenson,LAA,RP,34.6,39,2,4,3.99,1.18,15,30,11,5,33,0,2,0,1%
Ryne Stanek,STL,RP,56.7,57,3,3,4.26,1.36,27,51,26,7,60,0,4,0,0%
Isaac Mattson,PIT,RP,62.2,60,3,2,4.25,1.36,29,56,28,8,59,0,3,0,0%
Ryan Yarbrough,NYY,"SP,RP",62.5,50,3,0,4.36,1.26,30,60,19,9,42,2,3,0,1%
Cole Sulser,TB,RP,52.2,48,3,0,4.11,1.29,24,49,19,7,49,0,3,0,0%
Scott Barlow,ATH,RP,56.6,60,3,3,4.27,1.38,27,49,29,6,59,0,3,0,0%
Hunter Dobbins,STL,SP,83.7,62,4,0,4.43,1.36,41,86,28,10,25,13,5,0,0%
Kevin Kelly,TB,RP,44.9,39,2,0,3.86,1.19,19,43,11,5,44,0,3,0,0%
Eric Orze,MIN,RP,58.4,58,3,1,4.17,1.36,27,53,26,7,55,0,3,0,0%
Dietrich Enns,BAL,"SP,RP",61.1,56,3,0,4.2,1.33,29,61,21,8,50,1,3,0,0%
Brent Headrick,NYY,RP,47.5,49,2,0,4.03,1.23,21,43,16,7,42,0,2,0,0%
Jalen Beeks,TEX,RP,54.8,48,3,0,4.0,1.33,24,51,22,6,56,0,3,0,0%
Jacob Webb,CHC,RP,54.4,51,3,0,4.26,1.29,26,49,22,7,54,0,3,0,1%
Randy Vasquez,SD,SP,130.1,88,7,0,4.85,1.41,70,136,47,19,30,24,8,0,1%
Luis Garcia,NYM,RP,57.2,51,3,0,4.01,1.35,25,55,22,6,57,0,3,0,0%
Taylor Clarke,ARI,RP,58.6,48,3,1,4.32,1.29,28,59,17,8,56,0,3,0,0%
Josh White (MIA - RP) MiLB,,,43.3,45,3,0,3.96,1.3,19,38,18,5,41,0,2,0,0%
Justin Lawrence,PIT,RP,56.6,56,3,1,4.08,1.38,26,52,27,5,54,0,3,0,0%
Caleb Ferguson,CIN,RP,52.1,49,3,0,4.09,1.32,24,49,20,6,54,0,3,0,0%
Spencer Bivens,SF,RP,68.7,52,3,0,4.17,1.34,32,70,22,8,61,0,3,0,0%
Trevor McDonald,SF,"SP,RP",69.6,54,4,0,4.33,1.37,33,70,25,8,26,9,4,0,0%
Javier Assad (CHC - SP) MiLB,,,65.3,53,3,0,4.18,1.34,30,63,25,8,40,4,3,0,0%
Yohan Ramirez,PIT,RP,52.2,53,3,0,4.14,1.34,24,48,22,5,49,0,3,0,0%
Huascar Brazoban,NYM,"SP,RP",52.6,50,3,0,4.07,1.34,24,47,23,6,49,0,2,0,1%
Cole Winn,TEX,RP,63.2,54,3,4,4.36,1.38,31,58,29,8,56,0,3,0,0%
Yoendrys Gomez,TB,"SP,RP",53.6,53,3,0,4.33,1.31,26,48,22,8,36,3,3,0,0%
Ryan Zeferjahn,LAA,RP,59.9,67,3,1,4.41,1.38,29,52,31,9,60,0,3,0,0%
Casey Legumina,SEA,RP,48.4,47,3,0,4.18,1.31,22,44,19,6,47,0,3,0,0%
Justin Bruihl,STL,RP,49.7,45,3,0,4.05,1.33,22,47,19,5,50,0,3,0,0%
DL Hall,MIL,"SP,RP",52.9,50,3,0,4.12,1.35,24,48,24,6,45,0,2,0,0%
Jordan Hicks,CWS,"SP,RP",61.3,56,3,1,4.19,1.39,29,58,27,6,56,0,4,0,0%
Keaton Winn,SF,"SP,RP",47.9,42,3,0,4.15,1.3,22,47,15,6,34,2,2,0,0%
Carlos Vargas,SEA,RP,55.7,43,3,0,4.1,1.33,25,55,20,6,55,0,3,0,0%
Stephen Kolek,KC,SP,68.5,48,4,0,4.34,1.37,33,72,22,7,30,8,4,0,0%
Ben Casparius,LAD,"SP,RP",57.5,54,3,0,4.42,1.32,28,54,22,8,49,0,3,0,1%
Juan Mejia,COL,RP,64.1,66,3,3,4.48,1.41,32,61,30,8,63,0,3,0,0%
Anthony Banda,MIN,RP,56.3,55,3,1,4.32,1.37,27,52,25,7,56,0,3,0,0%
Brent Suter,LAA,"SP,RP",63.4,50,3,0,4.38,1.32,31,65,19,9,59,0,3,0,0%
Paul Blackburn,NYY,"SP,RP",60.1,50,3,0,4.44,1.31,30,60,19,8,45,3,3,0,0%
Lake Bachar,MIA,RP,51.3,51,3,0,4.31,1.34,25,47,22,7,49,0,3,0,0%
Ryan Johnson,LAA,RP,55.6,51,3,0,4.34,1.34,27,56,18,8,26,7,3,0,0%
Jack Perkins (ATH - RP) MiLB,,,43.9,42,2,0,3.93,1.28,19,38,18,5,26,3,2,0,0%
Tim Hill,NYY,RP,64.2,37,3,0,4.09,1.34,29,67,19,6,64,0,3,0,0%
Connor Prielipp (MIN - SP) MiLB,,,48.2,45,3,0,4.17,1.35,22,47,19,6,30,4,3,0,0%
Tyler Phillips,MIA,RP,67.1,50,3,2,4.38,1.37,33,69,23,8,59,0,3,0,0%
Mason Fluharty,TOR,RP,42.7,44,2,0,3.99,1.29,19,37,18,5,43,0,2,0,0%
Sam Moll,CIN,RP,46.5,46,3,0,4.21,1.35,22,42,20,5,48,0,2,0,0%
Matt Pushard,STL,RP,51.3,45,3,0,4.25,1.34,24,49,20,7,49,0,3,0,0%
Hayden Harris (ATL - RP) MiLB,,,40.3,45,2,0,3.95,1.3,18,35,18,5,40,0,2,0,0%
Cole Henry,WSH,RP,61.9,59,2,12,4.78,1.44,33,57,33,9,63,0,3,0,1%
Alex Lange,KC,RP,47.1,50,3,0,4.06,1.41,21,41,25,5,47,0,2,0,0%
Josiah Gray (WSH - SP) IL60,,,95.3,82,5,0,4.94,1.4,52,94,40,16,18,17,7,0,0%
Chase Silseth,LAA,RP,55.8,54,3,0,4.32,1.38,27,51,27,7,49,0,3,0,0%
Jonah Tong (NYM - SP) MiLB,,,30.7,34,2,0,3.59,1.25,12,25,13,3,11,5,2,0,4%
Sam Hentges,SF,RP,33.8,33,2,0,3.58,1.27,13,31,12,3,33,0,1,0,0%
"Zack Kelly (BOS - SP,RP) MiLB",,,55.1,53,3,0,4.32,1.38,26,50,26,7,52,0,3,0,0%
Josh Sborz (TEX - RP) NRI,,,48.3,49,2,0,4.14,1.32,22,44,20,6,47,0,3,0,0%
Luis Medina,ATH,SP,67.8,61,4,0,4.59,1.41,35,65,31,9,36,6,4,0,0%
Adbert Alzolay (NYM - RP) MiLB,,,42.1,40,2,0,4.15,1.25,19,39,14,6,40,0,2,0,8%
Connor Phillips,CIN,RP,57.1,60,3,1,4.53,1.39,29,50,29,8,51,0,3,0,0%
Kai-Wei Teng,HOU,"SP,RP",49.0,49,3,0,4.34,1.36,24,45,22,6,35,3,3,0,0%
Daniel Lynch,KC,RP,59.3,45,3,0,4.35,1.34,29,60,19,8,53,0,3,0,0%
Matt Gage,SF,RP,52.8,45,2,0,4.01,1.34,24,52,19,5,51,0,2,0,0%
JP Sears (SD - SP) MiLB,,,48.9,41,3,0,4.57,1.27,25,48,14,9,20,6,3,0,0%
Bailey Falter,KC,SP,69.2,50,4,0,4.68,1.35,36,70,23,11,41,5,4,0,0%
Hurston Waldrep (ATL - SP) IL60,,,58.5,50,4,0,4.41,1.42,29,57,26,7,11,11,4,0,3%
Kyle Freeland,COL,SP,161.4,118,7,0,5.06,1.42,91,186,43,26,29,29,12,0,1%
Andrew Hoffmann,ARI,RP,51.7,47,3,0,4.28,1.37,25,51,20,6,47,0,3,0,0%
Evan Phillips (LAD - RP) IL60,,,24.8,26,2,0,3.48,1.16,10,21,8,3,26,0,1,0,1%
Austin Warren (NYM - RP) MiLB,,,41.3,38,3,0,4.3,1.31,20,39,15,6,38,0,2,0,0%
Ryan Borucki,SF,RP,42.3,41,2,0,3.93,1.32,18,38,17,5,43,0,2,0,0%
Hunter Bigge (TB - RP) MiLB,,,47.7,49,2,0,4.17,1.33,22,43,20,7,45,0,2,0,0%
Ryan Brasier (RP) FA,,,38.2,33,2,0,4.03,1.23,17,36,11,5,37,0,2,0,0%
"Brandon Eisert (CWS - SP,RP) MiLB",,,48.2,47,2,0,4.22,1.31,23,46,17,7,47,0,3,0,0%
Brock Stewart,LAD,RP,33.2,38,2,0,3.97,1.26,15,28,14,4,34,0,1,0,0%
Cade Gibson (MIA - RP) MiLB,,,52.8,42,3,0,4.17,1.38,24,52,21,5,45,0,3,0,0%
Yuki Matsui,SD,RP,47.4,48,2,0,4.18,1.33,22,42,22,6,47,0,2,0,0%
Connor Brogdon,CLE,RP,50.9,51,3,0,4.54,1.35,26,48,21,8,49,0,3,0,0%
Luis Garcia (SP) FA,,,35.7,36,2,0,4.1,1.24,16,32,12,5,21,4,2,0,4%
Jose Suarez,ATL,RP,49.1,47,2,0,4.24,1.32,23,48,17,6,35,2,3,0,0%
Dauri Moreta (RP) FA,,,27.8,34,2,0,3.87,1.23,12,21,13,3,28,0,1,0,0%
Justin Wilson (RP) FA,,,33.5,35,2,0,3.91,1.27,15,30,12,4,34,0,2,0,0%
Didier Fuentes,ATL,SP,43.1,41,3,0,4.47,1.32,21,42,15,7,28,4,3,0,6%
Colin Selby (BAL - RP) IL60,,,39.2,41,2,0,4.01,1.32,17,35,17,5,37,0,2,0,0%
Craig Yoho,MIL,RP,34.2,37,2,0,3.85,1.31,15,29,16,4,34,0,2,0,0%
Bradgley Rodriguez,SD,RP,44.6,41,3,0,4.17,1.39,21,41,21,5,43,0,2,0,0%
Christian Scott (NYM - SP) MiLB,,,33.1,31,2,0,4.05,1.22,15,31,10,5,19,3,2,0,1%
Ryan Fernandez (STL - RP) MiLB,,,44.6,46,2,0,4.12,1.35,20,40,20,5,42,0,2,0,0%
Rob Zastryzny,MIL,RP,44.9,41,2,0,4.17,1.31,21,42,17,6,46,0,2,0,0%
Brandon Williamson,CIN,SP,76.1,64,4,0,4.82,1.39,41,76,29,12,28,10,5,0,1%
"Keider Montero (DET - SP,RP) MiLB",,,54.6,46,3,0,4.51,1.35,27,55,19,8,26,4,3,0,0%
Will Klein,LAD,RP,51.7,57,3,0,4.33,1.45,25,45,30,6,50,0,3,0,0%
Yaramil Hiraldo,BAL,RP,34.0,36,2,0,4.13,1.26,16,31,12,5,33,0,1,0,0%
Michael Kelly,ATH,RP,58.0,50,3,3,4.61,1.41,30,57,25,8,56,0,3,0,0%
Dylan Dodd (ATL - RP) MiLB,,,41.2,35,2,0,4.2,1.28,19,42,11,6,37,0,2,0,0%
Julian Fernandez (WSH - RP) MiLB,,,35.1,35,2,0,4.12,1.28,16,32,13,5,34,0,2,0,0%
Jordan Montgomery (TEX - SP) IL60,,,48.4,38,3,0,4.47,1.34,24,49,16,6,15,7,3,0,0%
Bryan Hudson,NYM,RP,33.4,33,2,0,3.92,1.31,15,29,14,4,32,0,2,0,0%
Edgardo Henriquez,LAD,RP,42.6,46,2,0,4.22,1.36,20,38,20,5,43,0,2,0,0%
Shane Drohan (MIL - SP) MiLB,,,36.7,37,2,0,4.1,1.32,17,33,16,5,23,3,2,0,0%
JT Brubaker,SF,RP,56.0,47,2,0,4.34,1.35,27,55,21,7,48,0,3,0,0%
Roddery Munoz,HOU,RP,51.4,52,3,0,4.63,1.39,26,47,24,8,44,0,3,0,0%
Andre Granillo,WSH,RP,42.7,42,2,1,4.35,1.34,21,38,19,6,39,0,2,0,0%
Evan Sisk (PIT - RP) MiLB,,,37.8,37,2,0,3.9,1.37,16,35,17,4,37,0,2,0,0%
Yosver Zulueta (SEA - RP) MiLB,,,30.7,32,2,0,3.81,1.33,13,26,15,3,29,0,1,0,0%
Taijuan Walker,PHI,"SP,RP",115.9,81,6,0,5.0,1.43,64,123,43,19,39,17,7,0,1%
Marcus Stroman (SP) FA,,,59.0,43,4,0,4.53,1.43,30,61,24,6,13,11,4,0,0%
Rico Garcia,BAL,RP,51.8,53,2,0,4.44,1.37,26,48,23,8,49,0,2,0,0%
Clarke Schmidt (NYY - SP) IL60,,,28.0,26,2,0,3.95,1.24,12,25,10,4,12,4,1,0,2%
Richard Lovelady,NYM,RP,34.6,31,2,0,4.09,1.29,16,33,12,4,34,0,2,0,0%
Andrew Alvarez (WSH - SP) MiLB,,,67.5,49,3,0,4.42,1.41,33,69,26,8,28,9,4,0,0%
Kyle Backhus,PHI,RP,45.5,44,2,0,4.32,1.35,22,43,19,6,47,0,3,0,0%
Steven Cruz (KC - RP) MiLB,,,41.4,38,2,0,4.18,1.34,19,38,18,4,41,0,2,0,0%
Easton McGee,MIL,RP,34.0,29,2,0,4.08,1.28,15,33,11,4,31,0,1,0,0%
Tyler Ferguson (ATH - RP) MiLB,,,47.7,47,2,0,4.29,1.38,23,42,24,5,46,0,3,0,0%
Nick Sandlin (LAA - RP) MiLB,,,40.1,41,2,0,4.37,1.33,19,35,18,6,41,0,2,0,0%
Colin Holderman,CLE,RP,42.2,40,2,0,4.21,1.36,20,40,18,5,42,0,2,0,0%
Gordon Graceffo (STL - RP) MiLB,,,53.3,43,2,0,4.36,1.35,26,55,18,6,44,0,3,0,0%
Andrew Walters,CLE,RP,30.6,36,2,0,4.1,1.34,14,25,15,4,31,0,2,0,0%
Nate Pearson,HOU,RP,45.7,46,2,0,4.4,1.36,22,42,20,6,43,0,2,0,0%
Andrew Chafin (RP) FA,,,37.3,40,2,0,4.08,1.39,17,33,18,4,37,0,2,0,0%
Jose Urquidy,PIT,RP,72.2,55,3,0,4.84,1.35,39,74,23,11,27,10,5,0,0%
"Jonathan Cannon (CWS - SP,RP) MiLB",,,95.3,71,4,0,4.9,1.4,52,100,34,15,33,13,6,0,0%
Michael Lorenzen,COL,"SP,RP",143.2,114,6,0,5.1,1.44,81,154,52,24,26,26,10,0,1%
Grant Wolfram,BAL,RP,41.7,40,2,0,4.16,1.38,19,39,18,5,40,0,2,0,0%
Chris Murphy,CWS,RP,50.3,46,2,0,4.29,1.39,24,46,23,6,44,0,3,0,0%
Travis Adams,MIN,"SP,RP",53.6,43,3,0,4.6,1.38,27,55,19,7,35,2,3,0,0%
Ethan Roberts (CHC - RP) MiLB,,,36.7,36,2,0,4.28,1.33,17,34,15,5,35,0,2,0,0%
Patrick Corbin (SP) FA,,,77.7,62,4,0,4.86,1.42,42,84,26,12,16,14,5,0,0%
Kyle Hurt (LAD - RP) MiLB,,,39.3,42,2,0,4.27,1.38,19,36,18,5,21,4,2,0,0%
Zak Kent,MIN,RP,45.3,44,2,0,4.28,1.39,22,42,21,5,42,0,2,0,0%
George Soriano,STL,RP,47.1,44,2,0,4.42,1.36,23,45,19,6,42,0,2,0,0%
Jose Leclerc (SD - RP) MiLB,,,30.7,34,2,0,4.19,1.33,14,26,14,4,30,0,1,0,0%
Tyler Anderson (SP) FA,,,80.1,63,4,0,4.86,1.42,43,81,32,13,16,14,6,0,0%
Kyle Hart,SD,"SP,RP",43.7,38,2,0,4.4,1.33,21,42,16,6,36,1,2,0,0%
Liam Hendriks (RP) FA,,,28.4,29,2,1,4.23,1.31,13,26,11,4,28,0,2,0,0%
Gregory Santos (SF - RP) MiLB,,,33.3,29,2,1,3.91,1.39,14,32,14,3,30,0,1,0,0%
Erick Fedde,CWS,"SP,RP",109.5,80,5,0,4.97,1.43,60,113,43,17,24,19,7,0,0%
Ron Marinaccio,SD,RP,40.5,39,2,0,4.36,1.35,20,37,18,5,38,0,2,0,0%
Mitchell Parker (WSH - SP) MiLB,,,47.9,37,3,0,4.6,1.37,24,49,16,7,27,4,3,0,0%
Brady Basso (ATH - RP) MiLB,,,32.4,29,2,0,4.16,1.31,15,31,11,4,29,0,1,0,0%
Joe Jimenez (ATL - RP) IL60,,,22.1,26,1,0,3.68,1.17,9,19,7,2,22,0,1,0,0%
Jedixson Paez,CWS,SP,44.8,35,2,0,4.42,1.32,22,46,13,6,41,0,2,0,0%
Brennan Bernardino,COL,"SP,RP",55.6,50,3,0,4.5,1.45,28,56,25,6,57,0,3,0,0%
Porter Hodge,CHC,RP,32.1,35,2,0,4.11,1.38,15,27,17,4,31,0,2,0,0%
Jon Gray (RP) FA,,,45.2,40,2,0,4.53,1.33,23,45,15,7,10,8,3,0,0%
Hayden Wesneski,HOU,SP,25.7,24,2,0,4.2,1.24,12,24,8,4,17,2,1,0,0%
DJ Herz (WSH - SP) IL60,,,27.4,30,2,0,4.07,1.34,12,23,13,3,19,2,2,0,0%
Jose Fermin (LAA - RP) MiLB,,,37.4,40,2,0,4.37,1.37,18,33,19,6,38,0,2,0,0%
Yerry De los Santos (NYY - RP) MiLB,,,37.4,30,2,0,4.13,1.35,17,36,14,4,35,0,2,0,0%
Justin Martinez (ARI - RP) IL60,,,20.8,25,1,1,3.28,1.29,8,16,11,1,20,0,1,0,1%
Jose Castillo (RP) FA,,,21.0,22,2,0,3.64,1.31,9,19,9,2,19,0,1,0,0%
Alex Cobb (SP) FA,,,32.1,27,2,0,4.12,1.32,15,31,11,3,8,5,2,0,0%
Jaden Hill,COL,RP,38.9,39,2,0,4.37,1.37,19,38,15,5,37,0,2,0,0%
John King,MIA,RP,50.0,33,2,0,4.11,1.39,23,55,15,5,49,0,2,0,0%
Tyler Gilbert,CWS,"SP,RP",41.1,37,2,0,4.41,1.35,20,40,16,6,39,0,2,0,0%
Steven Wilson,TB,RP,44.6,44,2,0,4.66,1.34,23,40,20,7,45,0,2,0,0%
Cody Laweryson (MIN - RP) NRI,,,39.2,34,2,0,4.37,1.34,19,39,14,5,36,0,2,0,0%
Michael Petersen,MIA,RP,37.1,36,2,0,4.39,1.35,18,35,15,5,36,0,2,0,0%
Luke Jackson (RP) FA,,,41.0,37,2,2,4.43,1.4,20,38,19,4,38,0,3,0,0%
Gage Jump (ATH - SP) NRI,,,42.5,35,2,0,4.41,1.34,21,42,15,6,9,9,3,0,1%
Tim Mayza,PHI,RP,34.4,29,2,0,4.14,1.35,16,35,12,4,35,0,1,0,0%
Kade Strowd (ARI - RP) MiLB,,,37.5,35,2,0,4.14,1.4,17,35,17,4,36,0,2,0,0%
Sawyer Gipson-Long,DET,"SP,RP",29.7,27,1,0,4.09,1.21,13,28,8,4,20,2,2,0,0%
Kyle Nicolas (CIN - RP) MiLB,,,39.8,41,2,0,4.3,1.41,19,36,20,5,37,0,2,0,0%
Anthony Nunez (BAL - RP) MiLB,,,21.4,23,2,0,3.92,1.3,9,19,9,2,21,0,1,0,0%
Nestor Cortes Jr. (SP) FA,,,32.4,29,2,0,4.49,1.28,16,31,11,6,6,6,2,0,0%
Peyton Pallette,CLE,RP,45.7,44,2,0,4.51,1.38,23,43,20,6,43,0,2,0,0%
Walker Buehler,SD,SP,70.2,56,4,0,4.93,1.43,38,72,29,11,26,11,5,0,2%
Paxton Schultz (WSH - RP) IL15,,,39.1,36,2,0,4.42,1.36,19,38,15,5,34,0,2,0,0%
Peyton Gray (TEX - RP) MiLB,,,26.8,26,2,0,4.23,1.31,13,25,10,4,26,0,2,0,0%
Garrett Hawkins (SD - RP) MiLB,,,25.8,26,2,0,4.17,1.32,12,23,11,4,26,0,2,0,0%
Joel Peguero,SF,RP,43.0,36,2,3,4.46,1.43,21,43,18,5,41,0,2,0,0%
Brandyn Garcia,ARI,RP,44.0,39,2,0,4.16,1.44,20,43,20,4,42,0,3,0,0%
Caden Dana (LAA - SP) MiLB,,,78.0,67,4,0,5.04,1.43,44,77,35,14,14,15,6,0,0%
Drew Smith (RP) FA,,,34.6,35,2,0,4.49,1.35,17,32,15,5,35,0,2,0,0%
Tommy Kahnle (BOS - RP) MiLB,,,44.0,39,2,1,4.42,1.41,22,41,21,5,45,0,3,0,0%
"Charlie Morton (SP,RP) FA",,,62.1,63,3,0,4.8,1.46,33,61,29,10,12,12,4,0,14%
Luis Curvelo (TEX - RP) MiLB,,,40.2,36,2,0,4.52,1.35,20,37,17,6,39,0,2,0,0%
"Ryan Gusto (MIA - SP,RP) MiLB",,,46.7,40,2,0,4.57,1.36,24,47,16,7,27,4,3,0,0%
German Marquez,SD,SP,106.6,79,5,0,5.09,1.43,60,116,37,17,23,19,7,0,0%
AJ Blubaugh,HOU,"SP,RP",42.1,38,2,0,4.51,1.37,21,40,18,6,29,3,2,0,1%
Max Lazar,PHI,RP,34.3,27,2,0,4.4,1.32,17,34,11,5,32,0,2,0,0%
Chad Green (RP) FA,,,33.6,29,2,0,4.56,1.31,17,33,11,6,32,0,2,0,0%
Gavin Stone,LAD,SP,27.7,23,2,0,4.32,1.31,13,27,9,4,12,3,1,0,0%
Kervin Castro (NYY - RP) MiLB,,,28.7,27,2,0,4.32,1.35,14,26,13,3,28,0,2,0,0%
Beau Brieske (DET - RP) IL60,,,45.1,39,2,0,4.55,1.38,23,43,20,6,42,0,3,0,0%
"Jose Corniell (TEX - SP,RP) MiLB",,,19.4,18,1,0,3.66,1.17,8,16,6,2,15,0,1,0,0%
Carson Whisenhunt (SF - SP) MiLB,,,43.6,34,2,0,4.43,1.38,21,44,16,6,15,7,3,0,0%
Luinder Avila (KC - RP) MiLB,,,34.0,29,2,0,4.28,1.39,16,32,15,4,31,0,2,0,0%
Kendry Rojas (MIN - SP) MiLB,,,33.0,29,2,0,4.29,1.39,16,33,13,4,26,2,2,0,0%
"Robinson Ortiz (SEA - SP,RP) MiLB",,,28.7,27,2,0,4.17,1.4,13,25,15,3,29,0,2,0,0%
Chase Lee,TOR,RP,25.6,25,1,0,4.03,1.26,11,24,8,4,24,0,1,0,0%
Coleman Crow (MIL - SP) MiLB,,,19.3,20,1,0,3.73,1.2,8,17,6,2,16,1,1,0,0%
River Ryan (LAD - SP) MiLB,,,42.7,36,2,0,4.53,1.38,21,42,17,6,13,8,2,0,2%
Brandan Bidois (PIT - RP) MiLB,,,47.6,45,2,0,4.51,1.43,24,45,23,6,46,0,3,0,0%
Seth Halvorsen,COL,RP,48.6,45,2,3,4.62,1.47,25,49,23,6,48,0,3,0,1%
Cionel Perez,WSH,RP,53.1,45,2,2,4.37,1.49,26,51,28,5,53,0,2,0,0%
Jason Foley (SF - RP) IL60,,,22.2,18,1,0,3.59,1.25,9,22,6,2,23,0,1,0,0%
Ian Hamilton (ATL - RP) MiLB,,,28.2,30,1,0,3.96,1.35,12,25,13,3,25,0,1,0,0%
Ryan Watson,BOS,"SP,RP",28.2,24,2,0,4.33,1.35,14,28,10,3,28,0,1,0,0%
Ryan Lambert (NYM - RP) MiLB,,,27.9,32,1,0,4.06,1.35,13,23,14,3,28,0,2,0,0%
Michael Kopech (RP) FA,,,34.8,38,2,0,4.54,1.42,18,29,20,5,33,0,2,0,0%
"Caleb Kilian (SF - SP,RP) NRI",,,35.7,27,2,0,4.37,1.37,17,37,12,4,34,0,2,0,0%
Tristan Beck,SF,RP,28.1,24,1,0,4.09,1.27,13,27,9,3,22,0,1,0,0%
Codi Heuer (CLE - RP) MiLB,,,24.7,25,1,0,3.92,1.3,11,22,9,3,22,0,1,0,0%
Yariel Rodriguez (TOR - RP) MiLB,,,31.2,30,1,0,4.09,1.34,14,27,15,4,30,0,2,0,0%
Jordan Wicks,CHC,"SP,RP",29.7,27,1,0,4.09,1.31,14,29,10,4,19,2,2,0,0%
Sam Bachman,LAA,RP,48.1,41,2,1,4.47,1.45,24,47,23,5,47,0,3,0,0%
"Jackson Rutledge (WSH - SP,RP) MiLB",,,47.0,41,2,1,4.72,1.4,25,47,19,7,42,0,2,0,0%
Nick Anderson (ATH - RP) NRI,,,41.0,37,2,1,4.68,1.4,21,41,16,7,40,0,2,0,0%
Mike Vasil,CWS,"SP,RP",46.0,35,2,1,4.49,1.42,23,45,21,6,25,1,3,0,1%
Juan Morillo,ARI,RP,45.8,42,2,0,4.31,1.48,22,44,24,5,47,0,2,0,0%
Nick Raquet (STL - RP) MiLB,,,28.5,23,2,0,4.3,1.37,14,29,10,3,27,0,2,0,0%
Carter Baumler,TEX,"SP,RP",47.2,41,2,0,4.6,1.41,24,45,22,6,45,0,3,0,0%
