Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Mike Burrows,HOU,"SP,RP",131.6,131,7,0,4.14,1.26,61,121,45,19,30,25,7,0,24%
Noah Cameron,KC,SP,149.9,127,9,0,4.25,1.3,71,146,49,21,27,27,9,0,27%
Kodai Senga,NYM,SP,126.1,127,8,0,3.96,1.32,56,110,55,15,29,22,7,0,37%
Zach Eflin,BAL,SP,146.9,114,9,0,4.38,1.25,72,154,29,23,31,25,9,0,7%
Braxton Ashcraft,PIT,"SP,RP",131.9,119,7,0,3.93,1.29,58,129,42,14,37,22,7,0,25%
Jameson Taillon,CHC,SP,146.3,114,9,0,4.44,1.24,72,146,36,24,26,26,9,0,9%
Bubba Chandler,PIT,SP,144.1,136,8,0,4.19,1.31,67,135,54,18,33,26,8,0,68%
Brayan Bello,BOS,SP,157.4,129,10,0,4.26,1.34,74,156,55,18,28,28,9,0,20%
Bryan Abreu,HOU,RP,67.9,90,4,9,3.18,1.17,24,51,29,7,68,0,3,0,71%
Trevor Megill,MIL,RP,62.6,77,4,17,3.41,1.17,24,51,23,7,62,0,3,0,81%
Chad Patrick,MIL,SP,140.9,133,8,0,4.34,1.28,68,133,47,22,27,26,8,0,9%
Tatsuya Imai,HOU,SP,148.2,150,8,0,4.28,1.33,70,134,64,19,26,26,8,3,68%
Grayson Rodriguez (LAA - SP) IL10,,,110.8,118,6,0,3.95,1.24,49,101,37,15,20,20,7,0,11%
Tyler Mahle,SF,SP,130.6,108,8,0,4.1,1.28,60,126,41,16,24,24,8,0,5%
Foster Griffin,WSH,RP,134.6,124,7,0,4.15,1.28,62,129,42,17,30,23,8,0,1%
Emilio Pagan,CIN,RP,65.3,72,3,27,3.95,1.18,29,55,22,10,66,0,3,0,89%
Pete Fairbanks,MIA,RP,60.2,62,3,27,3.53,1.21,24,52,21,6,60,0,3,0,83%
Slade Cecconi,CLE,SP,153.1,127,8,0,4.48,1.26,76,154,40,25,28,28,10,0,3%
Ian Seymour,TB,"SP,RP",113.8,110,6,0,4.05,1.22,51,104,35,16,38,16,6,0,18%
Hunter Greene (CIN - SP) D15,,,79.4,97,5,0,3.68,1.12,32,63,26,11,14,14,4,0,69%
Braxton Garrett (MIA - SP) MiLB,,,111.8,101,6,0,3.94,1.22,49,110,27,14,26,20,6,1,2%
Ryan Weathers,NYY,SP,116.8,111,7,0,4.07,1.26,53,107,41,16,30,20,6,0,16%
Taj Bradley,MIN,SP,139.1,132,8,0,4.33,1.3,67,132,49,19,31,25,8,0,2%
Seth Lugo,KC,SP,160.8,135,9,0,4.43,1.32,79,160,52,24,28,28,10,0,15%
Dustin May,STL,SP,147.4,131,8,0,4.32,1.31,71,138,54,18,30,25,9,0,4%
Matthew Liberatore,STL,SP,148.0,123,8,0,4.3,1.3,71,147,46,19,28,28,10,0,8%
Robert Garcia,TEX,RP,62.5,68,4,20,3.6,1.21,25,54,22,7,65,0,3,0,30%
Justin Steele,CHC,SP,85.4,80,6,0,3.58,1.18,34,78,23,9,16,15,4,0,15%
Quinn Priester,MIL,"SP,RP",126.7,105,8,0,4.11,1.3,58,123,42,15,22,22,7,0,20%
Nick Martinez,TB,"SP,RP",144.2,111,8,0,4.33,1.28,69,145,39,19,41,22,9,0,5%
