Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,145.056,637.642,518.342,148.723,72.7278,26.0782,0.425088,49.4923,105.705,119.526,108.312,18.1654,161.875,5.98003,4.23868,0.516894,8.89911,7.83279,2.90398,0.286921,0.169864,0.253865,0.669111,0.41298,0.625318,0.428292,1.0383,0.338397,3.21932,0.318852,,-0.737396,135.001,59.6585,180.706,-0.737396,-2.34,59.91615319252014,-9.347536325454712,7.41921,1.8600000143051147,,,,,,,1201.2,8.284137931,1201.2,8.284137931,,,,,,,,,,,,,,,,,,,Yankees,15640,592450
Bobby Witt Jr.,KCR,151.257,659.483,598.539,174.534,102.384,35.3254,5.58207,31.2421,104.505,96.6472,47.9623,5.00005,112.944,6.42046,5.69368,0.867676,6.98723,37.1328,8.39743,0.2916,0.0727271,0.171261,0.424656,0.347572,0.525863,0.369348,0.873436,0.234263,7.03263,0.311472,,2.98575,108.064,30.1411,135.957,2.98575,3.65,30.93419313430786,10.652638912200928,6.57718,3.069999933242798,,,,,,,1018.0,6.741721854,1018.0,6.741721854,,,,,,,,,,,,,,,,,,,Royals,25764,677951
Cal Raleigh,SEA,148.707,618.703,534.315,119.895,58.1497,22.1523,0.854776,38.7385,81.292,102.128,73.3185,6.8307,171.036,6.16702,4.39775,0.504324,6.26932,7.31373,2.56692,0.22439,0.118504,0.276443,0.428673,0.322519,0.486553,0.343091,0.809072,0.262162,3.61905,0.246723,,-0.451982,88.1923,15.0878,127.418,-0.451982,14.95,19.541338562965393,21.647247314453125,6.39283,18.6299991607666,,,,,,,816.0,5.476510067,816.0,5.476510067,,,,,,,,,,,,,,,,,,,Mariners,21534,663728
Shohei Ohtani,LAD,148.5,660.136,558.764,159.004,77.9194,30.8075,3.1078,47.1697,120.963,118.31,91.2082,13.4922,156.833,4.74889,3.60576,0.742395,8.77944,25.3033,8.35042,0.284565,0.138166,0.237577,0.581561,0.387287,0.604077,0.411769,0.991365,0.319513,5.94794,0.312068,,0.582214,130.907,52.9072,168.169,0.582214,0.0,53.91750258207321,-14.018393516540527,6.32926,1.2599999904632568,,,,,,,1193.3,8.062837837,1193.3,8.062837837,,,,,,,,,,,,,,,,,,,Dodgers,19755,660271
Juan Soto,NYM,154.754,678.277,547.721,147.819,82.8752,26.4158,0.426924,38.1008,107.561,99.5609,121.478,8.89927,123.407,4.14448,3.84726,1.0867,13.8151,16.705,6.10812,0.269879,0.179098,0.181942,0.984367,0.403787,0.528354,0.397048,0.932141,0.258475,3.96623,0.281284,,-0.478071,126.398,46.2545,160.877,-0.478071,-2.99,48.46069213747978,-10.349490404129028,6.20808,4.679999828338623,,,,,,,1103.9,7.121935483,1103.9,7.121935483,,,,,,,,,,,,,,,,,,,Mets,20123,665742
Julio Rodríguez,SEA,151.723,660.213,598.723,163.638,103.465,25.7974,6.17401,28.2022,95.6606,87.3291,47.779,3.63869,146.247,9.25549,3.8923,0.562853,10.7749,25.7437,6.52597,0.273312,0.0723691,0.221515,0.326701,0.33453,0.478335,0.347621,0.812865,0.205023,6.70901,0.316317,,1.4407,96.5377,18.5284,130.538,1.4407,0.52,25.203819632530212,2.670269250869751,5.17676,9.539999961853027,,,,,,,893.0,5.875,893.0,5.875,,,,,,,,,,,,,,,,,,,Mariners,23697,677594
Gunnar Henderson,BAL,152.419,659.777,583.114,155.906,93.5797,34.6273,2.71855,24.9809,94.2521,80.1243,64.9907,3.17499,140.374,5.72109,5.41164,0.540076,12.1849,20.6505,5.18536,0.267369,0.098504,0.21276,0.462981,0.343758,0.464599,0.347538,0.808357,0.19723,5.59743,0.309392,,0.942971,96.4295,18.4717,125.394,0.942971,-1.33,20.690112233161926,5.726435542106628,5.0261,12.4399995803833,,,,,,,883.1,5.809868421,883.1,5.809868421,,,,,,,,,,,,,,,,,,,Orioles,26289,683002
Fernando Tatis Jr.,SDP,148.542,648.293,567.018,154.796,93.8664,27.7098,4.10947,29.1101,99.518,85.3857,69.8968,3.09446,129.104,6.20556,4.20769,0.964777,12.5322,23.1702,7.18019,0.273,0.107817,0.199144,0.5414,0.356694,0.490381,0.363244,0.847075,0.217381,5.89557,0.304315,,0.591987,103.018,26.4171,138.158,0.591987,4.32,29.910918474197388,-2.7479705810546875,4.98587,14.0600004196167,,,,,,,929.7,6.239597315,929.7,6.239597315,,,,,,,,,,,,,,,,,,,Padres,19709,665487
Vladimir Guerrero Jr.,TOR,152.973,662.728,578.528,173.119,109.573,30.8611,1.17922,31.506,97.6648,98.0239,72.1295,6.98951,87.5671,7.14667,4.29104,0.632853,16.4904,5.83913,2.26736,0.299241,0.108837,0.132131,0.823706,0.381207,0.520038,0.384041,0.901245,0.220798,3.45333,0.305368,,-0.961274,116.502,38.1957,149.699,-0.961274,-0.37,37.858840107917786,-12.368168950080872,4.94177,18.1299991607666,,,,,,,1029.0,6.725490196,1029.0,6.725490196,,,,,,,,,,,,,,,,,,,Blue Jays,19611,665489
Corey Seager,TEX,122.688,526.391,453.818,125.024,72.9453,23.4946,0.683625,27.9008,70.9381,83.2588,59.5715,8.42127,99.2283,4.62726,4.24089,0.486303,10.2356,1.75645,0.694079,0.275494,0.11317,0.188507,0.600348,0.362317,0.514718,0.370586,0.877035,0.239224,2.38112,0.293486,,-0.782732,86.7849,24.5877,141.232,-0.782732,-0.09,24.798364400863647,3.9537860453128815,4.79535,95.45999908447266,,,,,,,777.6,6.321951219,777.6,6.321951219,,,,,,,,,,,,,,,,,,,Rangers,13624,608369
Ketel Marte,ARI,139.718,611.663,533.288,147.114,85.5281,30.7844,1.81183,28.9896,85.6551,94.6523,66.8552,4.38301,100.696,6.25351,4.24395,0.638647,12.7985,4.76013,1.81841,0.275862,0.109301,0.164627,0.66393,0.360642,0.503463,0.368919,0.864105,0.227601,3.63206,0.289629,,-0.810976,100.015,27.7425,137.322,-0.810976,-0.25,26.245569169521332,-0.1789184734225273,4.74902,32.2599983215332,,,,,,,887.0,6.335714285,887.0,6.335714285,,,,,,,,,,,,,,,,,,,Diamondbacks,13613,606466
Yordan Alvarez,HOU,131.1,558.79,475.733,138.797,76.9147,27.2352,1.28419,33.3627,84.2369,92.4117,69.56,9.01398,93.0661,7.76126,5.20073,0.535339,9.24266,3.50988,1.18546,0.291754,0.124483,0.166549,0.747425,0.387132,0.564789,0.399546,0.95192,0.273035,3.14198,0.297412,,-0.742199,105.265,39.2396,160.351,-0.742199,-0.44,39.005184173583984,-12.3765749335289,4.69218,33.209999084472656,,,,,,,935.4,7.140458015,935.4,7.140458015,,,,,,,,,,,,,,,,,,,Astros,19556,670541
William Contreras,MIL,143.978,599.947,523.755,137.722,89.633,27.13,0.0,20.9595,71.6423,81.0408,66.492,2.71624,119.259,4.63937,4.09397,0.966307,15.0056,5.31856,2.10204,0.262952,0.11083,0.198783,0.557541,0.348682,0.434804,0.340807,0.783486,0.171852,2.76647,0.301222,,-0.840492,84.4065,13.5182,119.804,-0.840492,5.49,13.24124675989151,12.62838888168335,4.68898,56.209999084472656,,,,,,,741.4,5.148611111,741.4,5.148611111,,,,,,,,,,,,,,,,,,,Brewers,20503,661388
Corbin Carroll,ARI,138.713,606.092,527.081,136.818,75.0913,29.2385,6.90709,25.5813,96.6427,77.2415,63.6059,2.6081,126.205,7.92845,3.96612,3.51005,7.72827,33.9503,6.80463,0.259577,0.104944,0.208227,0.50399,0.345766,0.48686,0.356406,0.832626,0.227283,7.71733,0.293298,,3.05268,92.9471,21.3327,128.751,3.05268,7.11,23.705586910247803,0.8762898445129395,4.57815,14.140000343322754,,,,,,,869.6,6.256115107,869.6,6.256115107,,,,,,,,,,,,,,,,,,,Diamondbacks,25878,682998
Will Smith,LAD,123.554,497.391,424.939,114.988,68.6258,20.9336,1.67182,23.7568,72.3622,72.3145,56.2148,2.28561,93.7796,9.09564,5.80746,0.473107,7.75535,2.92171,1.07782,0.270599,0.113019,0.188543,0.599435,0.363463,0.495449,0.367934,0.858912,0.22485,3.58339,0.291278,,-0.72616,80.9325,22.1619,138.141,-0.72616,-2.55,21.75830453634262,6.3968117237091064,4.57372,95.80999755859375,,,,,,,714.8,5.764516129,714.8,5.764516129,,,,,,,,,,,,,,,,,,,Dodgers,19197,669257
