key_fangraphs,key_mlbam
15640,592450.0
21534,663728.0
25764,677951.0
19755,660271.0
22799,672695.0
16252,607208.0
25878,682998.0
13510,608070.0
12916,596019.0
19709,665487.0
20123,665742.0
21636,665161.0
23697,677594.0
22715,672580.0
27769,691718.0
12856,543807.0
14161,621439.0
16478,656941.0
15998,641355.0
26289,683002.0
21479,663538.0
14344,621566.0
22581,672386.0
35110,701762.0
13613,606466.0
28163,691406.0
18345,663656.0
20454,665862.0
22186,668930.0
26668,682829.0
19197,669257.0
33333,694671.0
24816,681624.0
27464,693307.0
26151,669065.0
13624,608369.0
15986,642715.0
5361,518692.0
25816,669127.0
19611,665489.0
24617,680776.0
19612,666182.0
12552,553993.0
11493,592518.0
24262,678882.0
16505,656305.0
19251,624413.0
29622,686217.0
20503,661388.0
18401,660670.0
26319,683737.0
11579,547180.0
17678,608324.0
33266,805779.0
27479,691026.0
29715,696100.0
27467,691016.0
13611,605141.0
17350,646240.0
29518,695578.0
18314,621020.0
18564,663757.0
18030,664056.0
19392,656716.0
12161,593428.0
20352,676391.0
24610,680757.0
27478,672275.0
18839,647304.0
31539,686948.0
31347,687263.0
25768,682928.0
26294,681082.0
17128,657656.0
29576,700250.0
16442,656811.0
29490,701538.0
12927,607043.0
12564,596115.0
27562,669224.0
16578,650490.0
13301,571970.0
25976,682985.0
17548,621493.0
24679,680977.0
28806,694192.0
19290,668227.0
18036,630105.0
19522,670770.0
11609,575929.0
17919,664023.0
15491,641487.0
31812,701350.0
29712,695657.0
20599,671056.0
22664,672515.0
19722,665966.0
13152,593871.0
30116,673548.0
25477,686555.0
13620,608348.0
16997,650402.0
14162,621043.0
29646,702332.0
21837,666018.0
20036,670623.0
22266,669364.0
19627,667670.0
11477,592885.0
23772,677800.0
20202,669016.0
33824,808982.0
27465,679529.0
26123,683146.0
14854,573262.0
20308,676694.0
19608,672640.0
31370,805300.0
19918,662139.0
24598,680718.0
16530,643289.0
27615,676475.0
13897,623168.0
5417,514888.0
24618,680777.0
15362,643446.0
11739,592663.0
23401,676609.0
12533,543760.0
22542,671732.0
19352,669221.0
4949,519317.0
33549,691019.0
27815,676059.0
15112,641857.0
10155,545361.0
26121,682626.0
18123,664770.0
26396,669701.0
26202,663968.0
17620,664702.0
26477,687462.0
18882,664040.0
21618,664761.0
22857,672761.0
18360,663586.0
7802,500743.0
26299,673962.0
31349,687363.0
33321,807712.0
17022,624641.0
27899,690993.0
23003,673237.0
21711,665833.0
25782,686780.0
15905,620443.0
26438,686527.0
21562,663853.0
27676,686469.0
25961,681481.0
33322,807713.0
