Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14.1226,6.58254,18.0855,2.71504,29.3624,29.3624,0.0,0.0,0.0,188.109,737.06,145.126,61.6813,56.7468,18.3213,38.1489,0.651058,6.39,227.722,10.8953,1.82522,5.9693,0.876576,0.30896,0.0517581,0.25720173865556717,0.209561,0.974302,0.28401,0.771409,,,2.69044,5.87479,5.79059,6.909999847412109,3.88616,-1.08285,2.00138,3.88616,1.08285,2.3315,1116.8,5.940425531914894,1030.0,5.4787234042553195,,,,,,,,,,,,,,,,,,,Tigers,22267,669373
Paul Skenes,PIT,12.0792,7.81797,17.5104,2.75463,29.8894,29.8894,0.0,0.0,0.0,185.012,736.217,145.588,61.5506,56.6266,15.2896,45.7863,0.840491,6.45867,221.405,10.7703,2.2273,4.83561,0.743771,0.300733,0.0621913,0.23854131251573563,0.212856,1.03439,0.291313,0.763808,,,2.66323,5.68735,5.90476,9.65999984741211,1.98979,-0.293224,1.76763,1.98979,0.293224,2.64317,1090.9,5.896756756756758,1016.0,5.491891891891892,,,,,,,,,,,,,,,,,,,Pirates,33677,694973
Garrett Crochet,BOS,13.907,8.03575,16.7828,3.04663,29.2127,29.2127,0.0,0.0,0.711651,183.03,732.962,147.928,67.3461,61.9584,19.5571,47.2536,1.81026,5.16165,224.474,11.0379,2.32356,4.75041,0.961665,0.306256,0.0644694,0.24178698658943176,0.217367,1.06639,0.294082,0.761826,,,2.93047,5.08044,5.13163,12.100000381469727,4.82318,-1.39789,1.45789,4.82318,1.39789,3.05615,1015.4000000000001,5.548633879781422,947.0,5.174863387978142,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979
Logan Webb,SFG,13.3933,9.59452,17.0925,3.28557,30.1864,30.1864,0.0,0.178555,0.0,195.373,805.589,187.71,77.5254,71.3234,15.2494,44.3554,0.903914,5.76421,186.864,8.60803,2.04327,4.21287,0.702477,0.231959,0.0550596,0.17689963802695274,0.248467,1.18781,0.311662,0.733403,,,3.00653,4.99577,4.50282,57.72999954223633,4.1883,-0.71369,1.20691,4.1883,0.71369,3.39078,993.7,5.095897435897436,1004.0,5.148717948717949,,,,,,,,,,,,,,,,,,,Giants,17995,657277
Cristopher Sánchez,PHI,12.0359,7.51073,16.6006,3.18784,29.3485,29.3485,0.0,0.0,0.0,187.877,768.312,169.822,72.3337,66.547,16.1792,45.8617,2.18224,5.90546,182.553,8.74494,2.19694,3.98051,0.775042,0.237603,0.0596915,0.17791112884879112,0.237001,1.148,0.296715,0.74262,,,3.13793,4.59012,4.94353,25.170000076293945,3.27703,-0.690162,1.12803,3.27703,0.690162,3.49596,962.4000000000001,5.119148936170213,942.0,5.01063829787234,,,,,,,,,,,,,,,,,,,Phillies,20778,650911
Chris Sale,ATL,11.119,6.26736,13.9468,3.17956,25.5804,25.5804,0.0,0.0,0.0,156.965,637.423,129.84,60.2754,55.4534,16.6555,41.2279,0.661834,8.95363,192.844,11.0572,2.36391,4.67753,0.954986,0.302538,0.064679,0.23785853385925293,0.221101,1.08984,0.299633,0.749863,,,3.01649,3.89035,4.05492,39.209999084472656,3.2704,-0.239956,1.11401,3.2704,0.239956,3.51466,850.7,5.418471337579618,800.0,5.095541401273885,,,,,,,,,,,,,,,,,,,Braves,10603,519242
Yoshinobu Yamamoto,LAD,12.284,6.67439,13.7786,3.24567,26.4979,26.4979,0.0,0.0,0.0,161.159,654.263,131.9,63.1725,58.1187,15.84,47.299,0.733026,4.98304,175.038,9.77506,2.64143,3.70066,0.884594,0.267534,0.0722935,0.19524051249027252,0.219109,1.11194,0.282312,0.738914,,,3.21389,3.79017,3.8721,26.639999389648438,3.67138,-0.487686,1.03676,3.67138,0.487686,3.61765,845.4000000000001,5.2509316770186345,791.0,4.913043478260869,,,,,,,,,,,,,,,,,,,Dodgers,33825,808967
Cole Ragans,KCR,10.3476,7.95616,13.086,3.42957,26.4515,26.4515,0.0,0.0,0.0,155.757,638.345,124.847,64.5145,59.3534,16.8533,55.2197,1.77417,5.02562,193.3,11.1693,3.19072,3.50056,0.973819,0.302814,0.0865044,0.21630945801734924,0.21596,1.15607,0.293502,0.738483,,,3.22007,3.78889,3.30477,47.779998779296875,3.41829,-0.414945,0.937625,3.41829,0.414945,3.74983,826.3000000000002,5.296794871794873,765.0,4.903846153846154,,,,,,,,,,,,,,,,,,,Royals,21846,666142
Jesús Luzardo,PHI,11.9909,9.19924,14.5012,3.64242,29.3425,29.3425,0.0,0.0,0.0,176.054,722.843,151.388,77.4474,71.2516,21.5216,53.9551,0.822905,5.18052,193.948,9.9147,2.75821,3.59461,1.1002,0.268312,0.0746429,0.1936693638563156,0.228095,1.16636,0.289728,0.729946,,,3.52872,3.63558,3.55802,71.11000061035156,2.76067,-0.432337,1.01107,2.76067,0.432337,3.6519,850.2000000000002,4.830681818181819,805.0,4.573863636363637,,,,,,,,,,,,,,,,,,,Phillies,19959,666200
Max Fried,NYY,14.1563,8.2592,15.9064,3.32101,28.6966,28.6966,0.0,0.0,0.0,180.199,743.228,158.892,72.2757,66.4936,16.5386,52.8469,0.856422,7.10997,170.998,8.54047,2.63943,3.23573,0.826016,0.230075,0.0711046,0.15897050499916077,0.232546,1.17503,0.287157,0.739525,,,3.42857,3.62998,4.1517,50.09000015258789,2.04246,-2.32592,1.16065,2.04246,2.32592,3.45246,871.5000000000001,4.841666666666668,841.0,4.6722222222222225,,,,,,,,,,,,,,,,,,,Yankees,13743,608331
Framber Valdez,DET,12.7327,9.59454,15.7946,3.48816,28.534,28.534,0.0,0.0,0.0,185.144,774.194,166.218,77.9967,71.757,15.7802,61.1463,0.718134,8.06001,172.813,8.40057,2.97237,2.82623,0.767085,0.223217,0.0789806,0.14423636347055435,0.235774,1.22804,0.291323,0.727656,,,3.49774,3.60668,3.7138,81.8499984741211,3.44928,-2.57062,1.11695,3.44928,2.57062,3.51073,879.6,4.754594594594595,856.0,4.627027027027027,,,,,,,,,,,,,,,,,,,Tigers,17295,664285
Dylan Cease,TOR,10.6146,9.39551,12.5499,3.70073,29.0857,29.0857,0.0,0.0,0.0,168.955,702.87,141.657,75.514,69.4729,20.5197,64.3004,1.46695,5.25431,199.856,10.6461,3.4252,3.10816,1.09306,0.284343,0.0914826,0.19286008179187775,0.223675,1.21901,0.293353,0.736013,,,3.58324,3.57782,2.80158,74.2699966430664,5.58958,-1.03199,1.07575,5.58958,1.03199,3.56567,816.1000000000001,4.828994082840238,765.0,4.5266272189349115,,,,,,,,,,,,,,,,,,,Blue Jays,18525,656302
Hunter Brown,HOU,12.1047,8.62765,15.8108,3.4903,29.3352,29.3352,0.0,0.0,0.0,178.999,739.05,153.058,75.4542,69.4179,19.6932,58.1741,1.49845,6.93109,193.909,9.74967,2.92497,3.33325,0.990168,0.262376,0.0787147,0.18366120010614395,0.227107,1.18007,0.289707,0.739283,,,3.48994,3.56918,3.57488,36.400001525878906,2.60879,0.672009,1.02702,2.60879,-0.672009,3.63063,873.8000000000002,4.881564245810057,828.0,4.625698324022347,,,,,,,,,,,,,,,,,,,Astros,25880,686613
