Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Ryan Weathers,NYY,7.11405,7.6267,2.82128,4.05971,30.753,21.13,0.0,0.691,,122.085,513.728,111.889,58.93,55.07,16.4246,38.3703,1.47596,5.62645,118.738,8.75327,2.82862,3.09454,1.21081,0.23113,0.0746899,0.1564406082034111,0.238199,1.23078,0.285337,0.717633,,,4.02005,1.85579,1.60079,231.5800018310547,,,,,,,524.8000000000002,4.301639344262297,512.0,4.19672131147541,,,,,,,,,,,,,,,,,,,Yankees,23796,677960
Joey Cantillo,CLE,5.78191,9.1145,2.91767,4.32124,40.087,20.229,0.0,0.679,,129.192,556.103,119.497,66.49,62.03,16.8349,53.4146,1.56887,4.08622,136.154,9.48498,3.72106,2.549,1.17278,0.244835,0.0960516,0.1487838551402092,0.239664,1.33841,0.297043,0.7126,,,4.05662,1.84866,1.21897,271.2799987792969,,,,,,,541.0999999999999,4.194573643410852,529.0,4.10077519379845,,,,,,,,,,,,,,,,,,,Guardians,23335,676282
Kodai Senga,NYM,8.40986,8.79856,5.88347,4.22232,29.74,23.433,0.0,0.7173,,134.734,579.498,117.252,67.67,63.21,16.683,64.2537,0.944637,4.57035,137.769,9.20273,4.29203,2.14414,1.1144,0.237738,0.110878,0.1268603280186653,0.229603,1.34714,0.282322,0.719799,,,4.23221,1.84444,1.53235,227.25,,,,,,,558.7,4.138518518518519,527.0,3.903703703703704,,,,,,,,,,,,,,,,,,,Mets,31838,673540
Casey Mize,DET,8.53553,9.5597,10.4482,4.29988,26.499,26.499,0.0,0.0,,145.804,613.519,139.865,75.04,69.66,21.4339,40.5829,0.477051,5.36485,118.958,7.34289,2.50505,2.93124,1.32304,0.193895,0.0661477,0.12774692475795746,0.246427,1.2376,0.277239,0.700661,,,4.35984,1.83193,1.59257,285.510009765625,,,,,,,558.1000000000001,3.8226027397260283,557.0,3.815068493150685,,,,,,,,,,,,,,,,,,,Tigers,20492,663554
Shane Baz,BAL,9.69678,9.42258,11.7659,4.38001,27.631,27.631,0.0,0.0,,156.842,664.23,137.984,81.38,76.33,25.497,57.8306,0.414633,8.19198,148.846,8.54117,3.31847,2.57383,1.46309,0.224088,0.0870641,0.13702400028705597,0.230663,1.24849,0.265385,0.714687,,,4.61329,1.82695,1.67721,188.74000549316406,,,,,,,595.5,3.7929936305732483,560.0,3.56687898089172,,,,,,,,,,,,,,,,,,,Orioles,22264,669358
Joe Musgrove,SDP,7.47278,7.1024,9.1868,4.17007,20.788,20.788,0.0,0.0,,120.559,505.931,112.078,59.71,55.86,17.4052,32.4553,0.474206,7.30143,111.262,8.30599,2.42286,3.42818,1.29934,0.219916,0.0641496,0.1557668223977089,0.240421,1.19886,0.280506,0.705884,,,4.15549,1.82473,1.54005,355.7900085449219,,,,,,,500.1000000000001,4.13305785123967,489.0,4.041322314049586,,,,,,,,,,,,,,,,,,,Padres,12970,605397
Will Warren,NYY,7.20989,7.55984,2.73599,4.03488,33.808,20.818,0.0,0.691,,121.498,514.304,109.33,58.23,54.47,15.3212,44.2004,1.26402,4.77038,119.939,8.88453,3.27416,2.71353,1.13493,0.233207,0.0859421,0.14726447314023972,0.234951,1.26365,0.284813,0.721533,,,4.00931,1.78943,1.61289,292.92999267578125,,,,,,,524.5000000000001,4.334710743801653,507.0,4.190082644628099,,,,,,,,,,,,,,,,,,,Yankees,30182,701542
Adrian Houser,SFG,7.89705,9.34238,10.6098,4.47004,24.889,24.889,0.0,0.0,,141.039,611.78,148.062,75.27,70.05,15.0196,50.2162,0.423133,4.65643,99.7441,6.36489,3.20441,1.98629,0.958434,0.163039,0.0820822,0.0809570923447609,0.265866,1.40584,0.300904,0.693979,,,4.2723,1.78816,1.27996,742.5399780273438,,,,,,,509.1000000000001,3.610638297872341,545.0,3.8652482269503547,,,,,,,,,,,,,,,,,,,Giants,12718,605288
Tyler Mahle,SFG,7.61743,8.26357,9.60149,4.19023,22.902,22.902,0.0,0.0,,129.709,545.708,121.017,64.71,60.39,18.3439,41.4088,0.418546,1.9891,104.974,7.28371,2.87319,2.53506,1.27281,0.192362,0.0758808,0.11648149788379669,0.240922,1.25223,0.270912,0.714588,,,4.35877,1.77564,1.59945,325.2799987792969,,,,,,,507.0,3.9,497.0,3.8230769230769233,,,,,,,,,,,,,,,,,,,Giants,16358,641816
Gerrit Cole,NYY,7.47461,5.90875,8.96101,4.05032,18.649,18.649,0.0,0.0,,112.68,466.926,98.7661,54.07,50.71,17.4564,32.8904,0.352959,3.71566,110.475,8.82386,2.62703,3.35887,1.39428,0.2366,0.0704404,0.166159987449646,0.229518,1.16841,0.268892,0.723636,,,4.16284,1.76732,1.6491,235.33999633789062,,,,,,,478.70000000000005,4.236283185840708,453.0,4.008849557522124,,,,,,,,,,,,,,,,,,,Yankees,13125,543037
Quinn Priester,MIL,7.15745,7.05305,8.92076,4.10996,20.25,20.25,0.0,0.0,,117.439,495.86,114.477,57.29,53.63,13.3072,35.5534,0.324232,4.36611,94.399,7.23431,2.72465,2.65513,1.01981,0.190374,0.0717006,0.11867374926805496,0.251079,1.27752,0.290522,0.705785,,,4.02031,1.75567,1.59411,561.9299926757812,,,,,,,477.5000000000002,4.081196581196584,484.0,4.136752136752137,,,,,,,,,,,,,,,,,,,Brewers,25977,682990
Grayson Rodriguez,LAA,5.63585,6.20926,7.13768,4.01958,17.017,17.017,0.0,0.0,,96.7937,406.64,88.2229,46.31,43.23,12.9336,30.6132,0.288094,3.70544,100.159,9.31287,2.84645,3.27174,1.20258,0.246308,0.0752834,0.17102445662021637,0.236954,1.22773,0.290436,0.720012,,,3.86634,1.7426,1.45254,369.8800048828125,,,,,,,424.1000000000001,4.372164948453609,411.0,4.237113402061856,,,,,,,,,,,,,,,,,,,Angels,24492,680570
Braxton Garrett,MIA,5.10689,7.24021,3.55345,4.10407,23.293,17.273,0.0,0.6387,,100.393,421.385,99.1466,49.29,45.78,12.4893,24.4527,0.969002,4.53494,91.0186,8.15961,2.19212,3.72224,1.11963,0.215999,0.0580293,0.15796960145235062,0.252669,1.23115,0.299967,0.700276,,,3.80536,1.74143,1.26718,585.5800170898438,,,,,,,434.0,4.34,443.0,4.43,,,,,,,,,,,,,,,,,,,Marlins,21844,666129
Jameson Taillon,CHC,8.95977,8.56032,11.2699,4.37018,24.973,24.973,0.0,0.0,,145.518,606.682,137.821,75.44,70.66,24.0194,37.4052,0.37541,2.75788,111.96,6.92451,2.31343,2.99317,1.48555,0.184545,0.0616553,0.12288972735404968,0.243277,1.20415,0.264323,0.704709,,,4.57015,1.72304,1.5926,499.30999755859375,,,,,,,530.4000000000001,3.632876712328768,522.0,3.5753424657534247,,,,,,,,,,,,,,,,,,,Cubs,11674,592791
Hunter Greene,CIN,4.33156,3.70701,4.94558,3.58997,11.365,11.365,0.0,0.0,,66.3599,270.848,53.3047,28.15,26.47,8.72389,19.0399,0.176284,2.65832,83.7993,11.3652,2.58227,4.40124,1.18317,0.309396,0.0702973,0.2390982136130333,0.213946,1.09019,0.28463,0.73497,,,3.29949,1.71452,1.34296,403.07000732421875,,,,,,,341.9000000000001,5.1803030303030315,315.0,4.7727272727272725,,,,,,,,,,,,,,,,,,,Reds,22182,668881
Eduardo Rodriguez,ARI,7.46877,9.54361,7.71454,4.75519,26.547,23.375,0.0,0.6469,,130.897,568.903,133.93,73.91,69.16,17.8755,48.4416,0.925488,3.82024,115.463,7.9388,3.33067,2.38354,1.22905,0.202957,0.0851492,0.11780767887830734,0.259233,1.39325,0.302776,0.68932,,,4.34404,1.69919,0.717465,739.72998046875,,,,,,,477.60000000000014,3.645801526717558,499.0,3.8091603053435112,,,,,,,,,,,,,,,,,,,Diamondbacks,13164,593958
Taj Bradley,MIN,7.76938,10.3051,6.63544,4.45889,30.224,24.475,0.0,0.6406,,139.111,596.431,132.561,73.71,68.92,19.5498,51.8844,0.919528,4.31333,120.671,7.807,3.35674,2.32577,1.2648,0.202322,0.0869914,0.11533026397228241,0.245378,1.32589,0.28252,0.704982,,,4.43912,1.69324,1.18825,503.44000244140625,,,,,,,514.8000000000002,3.7035971223021598,513.0,3.6906474820143886,,,,,,,,,,,,,,,,,,,Twins,22543,671737
Bryce Miller,SEA,8.70834,8.43291,10.6187,4.33021,24.685,24.685,0.0,0.0,,140.917,589.176,128.029,72.31,67.8,22.5841,42.9509,0.472291,3.68432,117.209,7.48583,2.74316,2.72891,1.44239,0.198937,0.0728999,0.12603721022605896,0.235981,1.21334,0.261814,0.708011,,,4.54789,1.68805,1.58179,333.2699890136719,,,,,,,520.7,3.69290780141844,499.0,3.5390070921985815,,,,,,,,,,,,,,,,,,,Mariners,29837,682243
Michael Wacha,KCR,8.94835,10.4851,13.2577,4.85027,27.515,27.515,0.0,0.0,,163.457,703.964,168.316,94.05,88.09,25.5007,50.6488,0.505981,5.1443,115.101,6.3375,2.78874,2.27253,1.40408,0.163504,0.071948,0.09155618399381638,0.259679,1.33959,0.281372,0.681612,,,4.77891,1.68592,0.766988,613.75,,,,,,,511.6000000000001,3.138650306748467,539.0,3.3067484662576687,,,,,,,,,,,,,,,,,,,Royals,14078,608379
Simeon Woods Richardson,MIN,7.96316,11.0,7.0952,4.65774,29.929,25.844,0.0,0.6406,,139.046,597.342,132.333,76.7,71.96,20.2482,52.8182,0.778515,3.3894,119.211,7.71615,3.41875,2.25701,1.3106,0.199569,0.088422,0.11114739626646042,0.244547,1.33158,0.279043,0.691636,,,4.52623,1.68039,0.914843,667.6799926757812,,,,,,,513.4000000000001,3.693525179856116,509.0,3.661870503597122,,,,,,,,,,,,,,,,,,,Twins,24494,680573
Justin Steele,CHC,5.48245,4.34309,4.84309,3.6304,13.417,12.966,0.0,0.0,,72.7358,299.83,64.4728,31.58,29.34,7.91188,19.7952,0.224789,2.76094,69.6558,8.6189,2.44937,3.51883,0.978981,0.232318,0.0660213,0.16629627346992493,0.232524,1.15855,0.283221,0.719866,,,3.56424,1.67052,1.37185,598.5700073242188,,,,,,,346.4000000000001,4.745205479452056,332.0,4.5479452054794525,,,,,,,,,,,,,,,,,,,Cubs,17312,657006
Yusei Kikuchi,LAA,8.63218,11.78,12.9772,4.74982,29.353,29.353,0.0,0.0,,167.937,723.437,168.034,95.27,88.63,28.4314,58.7485,0.722789,4.34409,155.667,8.34243,3.14842,2.64972,1.52368,0.215177,0.0812076,0.13396943360567093,0.254464,1.3504,0.293131,0.703356,,,4.60922,1.66379,0.971672,499.2300109863281,,,,,,,585.0,3.482142857142857,599.0,3.5654761904761907,,,,,,,,,,,,,,,,,,,Angels,20633,579328
Brayan Bello,BOS,9.23521,9.59491,11.9935,4.36999,26.911,26.911,0.0,0.0,,155.925,673.018,155.04,81.67,75.71,18.1983,57.3559,0.400949,8.36831,117.578,6.78663,3.31059,2.04998,1.05041,0.174703,0.085222,0.08948125690221786,0.255297,1.36217,0.290216,0.699375,,,4.40879,1.63068,1.51405,424.6099853515625,,,,,,,571.0000000000001,3.660256410256411,587.0,3.7628205128205128,,,,,,,,,,,,,,,,,,,Red Sox,23920,678394
Mason Miller,SDP,2.87725,1.44508,0.0,2.42153,59.683,0.071,34.0,1.9856,,64.3725,255.293,39.1139,18.58,17.32,5.25721,24.555,1.64735,1.92441,99.0,13.8413,3.43307,4.03176,0.735017,0.387789,0.0961835,0.29160578548908234,0.170942,0.98907,0.271818,0.800743,,,2.35502,1.62721,1.50034,28.079999923706055,,,,,,,605.7,9.4640625,550.0,8.59375,,,,,,,,,,,,,,,,,,,Padres,31757,695243
Grant Taylor,CHW,2.98995,2.81619,0.0,3.05551,66.352,2.434,6.0,15.0731,,80.088,326.597,61.063,29.09,27.19,6.71313,28.5878,1.66458,1.74592,99.4084,11.1712,3.21259,3.4773,0.754397,0.304376,0.0875322,0.2168438583612442,0.206111,1.1194,0.285839,0.754629,,,2.87861,1.62632,1.43276,508.010009765625,,,,,,,542.3,6.77875,504.0,6.3,,,,,,,,,,,,,,,,,,,White Sox,33927,691799
