Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14,7,22,2.67008,32,32,0,0,,200.0,790,156,65,59,19,40,,7,245,10.9994,1.81286,6.06746,0.84838,0.310011,0.051094,0.2589167356491089,0.210329,0.981068,0.286727,0.775254,,,2.62291,6.33694,6.18165,6.909999847412109,,,,,,,1189.6999999999998,5.948499999999999,1102.0,5.51,,,,,,,,,,,,,,,,,,,Tigers,22267,669373
Garrett Crochet,BOS,15,8,21,2.90087,32,32,0,0,,197.0,796,162,69,64,20,52,,5,245,11.1845,2.36141,4.73637,0.894352,0.307723,0.0649701,0.24275241047143936,0.218914,1.08324,0.299672,0.774824,,,2.80782,5.79882,5.89967,12.100000381469727,,,,,,,1109.6000000000001,5.632487309644671,1044.0,5.299492385786802,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979
Paul Skenes,PIT,13,8,21,2.83954,32,32,0,0,,189.0,761,152,65,60,17,49,,6,223,10.6196,2.35013,4.51874,0.808429,0.293319,0.0649116,0.22840722650289536,0.21602,1.06669,0.291031,0.769121,,,2.82402,5.41046,5.83595,9.65999984741211,,,,,,,1075.3000000000002,5.689417989417991,1005.0,5.317460317460317,,,,,,,,,,,,,,,,,,,Pirates,33677,694973
Cristopher Sánchez,PHI,12,8,20,3.21366,32,32,0,0,,200.0,820,183,78,71,18,49,,7,193,8.68925,2.20901,3.93354,0.802798,0.235321,0.0598241,0.17549655959010124,0.239395,1.16081,0.298363,0.743038,,,3.20115,4.78491,5.15656,25.170000076293945,,,,,,,1000.8,5.004,984.0,4.92,,,,,,,,,,,,,,,,,,,Phillies,20778,650911
Logan Webb,SFG,14,9,20,3.18546,32,32,0,0,,202.0,836,191,79,72,16,45,,6,191,8.49747,2.00803,4.23175,0.711908,0.228464,0.053988,0.17447569966316223,0.243484,1.16829,0.302969,0.736241,,,3.0274,4.53355,4.54127,57.72999954223633,,,,,,,1030.4,5.100990099009901,1031.0,5.103960396039604,,,,,,,,,,,,,,,,,,,Giants,17995,657277
Cole Ragans,KCR,11,8,17,3.40402,29,29,0,0,,163.0,674,132,67,62,17,58,,5,202,11.1476,3.19613,3.48785,0.955779,0.299196,0.0857823,0.2134132906794548,0.215568,1.16468,0.291774,0.741911,,,3.19172,4.06331,3.7084,47.779998779296875,,,,,,,868.9000000000001,5.330674846625768,809.0,4.96319018404908,,,,,,,,,,,,,,,,,,,Royals,21846,666142
Chris Sale,ATL,12,6,18,3.14743,28,28,0,0,,165.0,676,138,62,58,18,44,,10,200,10.9041,2.40856,4.52723,0.95341,0.296231,0.0654332,0.23079778999090195,0.221802,1.10266,0.297921,0.760099,,,3.06445,3.98855,4.38289,39.209999084472656,,,,,,,878.8,5.326060606060606,829.0,5.024242424242424,,,,,,,,,,,,,,,,,,,Braves,10603,519242
Max Fried,NYY,14,9,19,3.32423,31,31,0,0,,189.0,779,169,76,70,17,54,,7,176,8.37269,2.5782,3.2475,0.812211,0.22524,0.069358,0.15588213503360748,0.234676,1.1798,0.288245,0.736716,,,3.4185,3.90625,3.96213,50.09000015258789,,,,,,,919.1000000000003,4.862962962962964,893.0,4.724867724867725,,,,,,,,,,,,,,,,,,,Yankees,13743,608331
Hunter Brown,HOU,13,8,19,3.34491,31,31,0,0,,183.0,759,157,74,68,19,60,,7,197,9.6701,2.96264,3.26401,0.939784,0.259231,0.079421,0.17981024086475372,0.227437,1.18849,0.290415,0.7517,,,3.44336,3.77621,3.97855,36.400001525878906,,,,,,,905.3,4.946994535519125,861.0,4.704918032786885,,,,,,,,,,,,,,,,,,,Astros,25880,686613
Sonny Gray,BOS,12,10,17,3.71624,31,31,0,0,,178.0,746,169,80,74,21,47,,5,186,9.38232,2.38648,3.93145,1.0792,0.249291,0.0634094,0.18588153272867203,0.24418,1.21453,0.304322,0.733264,,,3.49041,3.71257,3.37465,137.82000732421875,,,,,,,835.5000000000001,4.693820224719102,833.0,4.679775280898877,,,,,,,,,,,,,,,,,,,Red Sox,12768,543243
Jacob deGrom,TEX,11,8,17,3.50261,29,29,0,0,,169.0,679,143,71,66,23,40,,4,188,10.0277,2.11064,4.75102,1.22894,0.27658,0.0582149,0.2183653935790062,0.224972,1.08298,0.28243,0.741819,,,3.45295,3.67638,3.30617,49.970001220703125,,,,,,,839.9000000000003,4.969822485207103,790.0,4.674556213017752,,,,,,,,,,,,,,,,,,,Rangers,10954,594798
Dylan Cease,TOR,12,9,18,3.57182,31,31,0,0,,173.0,727,144,74,69,20,65,,5,203,10.5316,3.38948,3.10713,1.05402,0.279228,0.0898669,0.18936119228601456,0.220084,1.20985,0.286598,0.747311,,,3.53149,3.66095,3.17456,74.2699966430664,,,,,,,855.8000000000001,4.946820809248555,801.0,4.630057803468208,,,,,,,,,,,,,,,,,,,Blue Jays,18525,656302
Framber Valdez,DET,13,10,19,3.41289,31,31,0,0,,195.0,813,177,81,74,17,65,,8,180,8.33084,2.98441,2.79145,0.778979,0.221844,0.0794727,0.14237145334482193,0.239273,1.24021,0.295154,0.738184,,,3.53443,3.63877,3.96998,81.8499984741211,,,,,,,914.7,4.690769230769231,895.0,4.589743589743589,,,,,,,,,,,,,,,,,,,Tigers,17295,664285
Yoshinobu Yamamoto,LAD,12,7,16,3.37887,26,26,0,0,,155.0,627,129,63,58,17,43,,5,165,9.54056,2.51996,3.786,0.968098,0.262612,0.0693642,0.1932482346892357,0.223427,1.11225,0.283379,0.731436,,,3.34838,3.63173,3.56908,26.639999389648438,,,,,,,788.5000000000001,5.087096774193549,740.0,4.774193548387097,,,,,,,,,,,,,,,,,,,Dodgers,33825,808967
Bryan Woo,SEA,13,10,19,3.46564,32,32,0,0,,195.0,788,169,81,75,25,43,,9,197,9.09243,1.96479,4.62768,1.15706,0.250354,0.0540993,0.19625499844551086,0.228605,1.08086,0.278631,0.737266,,,3.57267,3.54819,3.31511,34.900001525878906,,,,,,,934.1,4.7902564102564105,888.0,4.553846153846154,,,,,,,,,,,,,,,,,,,Mariners,30279,693433
Zack Wheeler,PHI,11,7,16,3.31356,26,26,0,0,,157.0,638,132,63,58,18,41,,7,171,9.80986,2.36121,4.1546,1.00665,0.268123,0.0645366,0.2035868987441063,0.224828,1.10712,0.286793,0.744472,,,3.33275,3.54258,3.84767,111.97000122070312,,,,,,,795.1999999999998,5.064968152866241,749.0,4.770700636942675,,,,,,,,,,,,,,,,,,,Phillies,10310,554430
