Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Will Bednar,SFG,0,0,0,4.33983,1,0,0,0,,1.5113,7,1,1,1,0,1,0.0,0,2,10.4864,6.06212,1.72982,1.19522,0.24382,0.140951,0.10286879539489746,0.225838,1.58669,0.284239,0.756742,,,4.73776,-0.00833535,-0.0225067,999.0,,,,,,,9.58363211154938,6.341309953519235,8.556508183479309,5.6616812790504785,,,,,,,,,,,,,,,,,,,Giants,sa3017844,687218
Jordan Marks,,0,0,0,5.12374,1,0,0,0,,1.3429,6,1,1,1,0,1,0.0,0,1,5.51996,3.82653,1.44255,1.14756,0.148725,0.103099,0.04562651365995407,0.266721,1.39882,0.29081,0.636736,,,4.98647,-0.00834186,-0.0306963,999.0,,,,,,,6.337425875663758,4.719225286978998,5.714476943016052,4.255340357494166,,,,,,,,,,,,,,,,,,,,sa3018192,671960
Kevin Camacho,CHC,0,0,0,5.45008,1,1,0,0,,3.33125,14,3,2,2,1,2,0.0,0,2,6.37126,4.9644,1.28339,1.36773,0.167698,0.130668,0.0370299369096756,0.254395,1.47162,0.278621,0.643609,,,5.50955,-0.00835141,0.00604867,999.0,,,,,,,2.5512496471405024,0.7658535635750082,1.656249761581421,0.49718567663462104,,,,,,,,,,,,,,,,,,,Cubs,sa3021577,814268
Wander Guante,,0,0,0,5.83438,1,1,0,0,,2.82341,12,3,2,2,0,1,0.0,0,2,5.03032,4.27321,1.17717,1.41741,0.128039,0.108768,0.019270971417427063,0.279451,1.54748,0.293132,0.632583,,,5.64488,-0.00837494,-0.0228954,999.0,,,,,,,14.09326777458191,4.991568703234747,15.117072820663452,5.354181073053714,,,,,,,,,,,,,,,,,,,,sa3009851,685588
Eddy Yean,WSN,0,0,0,5.02826,1,0,0,0,,1.43109,6,1,1,1,0,1,0.0,0,1,6.03014,4.22435,1.42747,1.08745,0.152425,0.10678,0.04564537853002548,0.268455,1.50945,0.298123,0.670925,,,4.93003,-0.00837934,-0.0242596,999.0,,,,,,,6.990078330039978,4.884437870073863,6.155458331108093,4.301232741687184,,,,,,,,,,,,,,,,,,,Nationals,sa3006543,678868
Erick Mejia,WSN,0,0,0,5.15716,1,0,0,0,,1.0876,5,1,1,1,0,1,0.0,0,1,7.40056,4.911,1.50694,1.27805,0.187935,0.124713,0.06322168558835983,0.255614,1.5107,0.292782,0.674477,,,5.13672,-0.00841743,-0.0417643,999.0,,,,,,,4.4482408285141,4.08995988469714,4.438000559806824,4.080544412415872,,,,,,,,,,,,,,,,,,,Nationals,15817,625510
Bryan Shaw,,0,0,0,5.25809,1,0,0,0,,0.963666,5,1,1,1,0,1,0.0,0,1,7.35566,5.39164,1.36427,1.38889,0.167891,0.123063,0.04482829570770264,0.260828,1.69683,0.291443,0.714975,,,5.48459,-0.0084715,-0.043532,999.0,,,,,,,3.531128120422364,3.6642656883828137,3.8183298110961914,3.9622960245507817,,,,,,,,,,,,,,,,,,,,8110,543766
Samuel Sanchez,LAD,0,0,0,5.76434,1,1,0,0,,3.39339,15,4,2,2,1,1,0.0,0,2,4.62467,3.28842,1.40635,1.70498,0.118575,0.084314,0.03426113724708557,0.274056,1.43971,0.275082,0.630201,,,5.81052,-0.00851499,0.0124179,999.0,,,,,,,3.411050271987916,1.005205745650093,4.966925859451294,1.4637082464424476,,,,,,,,,,,,,,,,,,,Dodgers,sa3021008,808247
Hoss Brewer,NYM,0,0,0,5.03357,1,0,0,0,,1.40633,6,1,1,1,0,1,0.0,0,1,5.70627,3.35161,1.70254,1.23653,0.156314,0.0918118,0.06450175493955612,0.264193,1.33347,0.287363,0.633245,,,4.90837,-0.00853162,-0.0288532,999.0,,,,,,,6.806852507591248,4.840148211904846,6.031657099723816,4.288930058862457,,,,,,,,,,,,,,,,,,,Mets,sa3025636,804546
Carlos Garcia,,0,0,0,4.7611,1,0,0,0,,1.71379,7,2,1,1,0,1,0.0,0,1,7.80883,4.13379,1.88903,1.4707,0.19906,0.105377,0.09368284791707993,0.240891,1.38627,0.271051,0.69847,,,5.05625,-0.0085389,-0.0110147,999.0,,,,,,,6.482034087181092,3.782283813100994,7.568941950798035,4.416497389209837,,,,,,,,,,,,,,,,,,,,sa3006590,681603
Connor Housley,,0,0,0,5.11339,1,0,0,0,,1.46781,6,1,1,1,0,1,0.0,0,1,6.04856,4.06036,1.48966,1.27402,0.156696,0.105189,0.05150703340768814,0.26146,1.44137,0.285394,0.660255,,,5.13629,-0.00855258,-0.0243299,999.0,,,,,,,7.261784553527832,4.947364351712582,6.339043617248535,4.318712319920162,,,,,,,,,,,,,,,,,,,,sa3024915,687355
Chris Rodriguez,CHW,0,0,0,4.87585,1,0,0,0,,1.87169,9,2,1,1,0,1,0.0,0,1,6.99902,4.75156,1.47299,1.14497,0.167241,0.113538,0.05370274931192398,0.259975,1.585,0.294149,0.70601,,,4.98568,-0.00856184,-0.0033688,999.0,,,,,,,7.6504789113998415,4.087479162743045,8.358431696891785,4.465722445603717,,,,,,,,,,,,,,,,,,,White Sox,22310,669735
Jake Gilbert,,0,0,0,5.04875,1,0,0,0,,1.57143,7,2,1,1,0,1,0.0,0,1,7.18712,4.16393,1.72604,1.4643,0.179271,0.103862,0.07540836930274963,0.254262,1.46435,0.281698,0.688717,,,5.19792,-0.00856513,-0.0123303,999.0,,,,,,,5.428571176528931,3.4545453690300287,6.857142686843872,4.363636349843553,,,,,,,,,,,,,,,,,,,,sa1172846,663724
