Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14.0486,8.8866,22.6454,2.79447,32.0,32.0,0.0,0.0,,199.765,796.51,159.428,68.1063,62.0263,20.265,43.5054,0.364,7.1136,242.947,10.9455,1.96005,5.58429,0.913,0.305014,0.05462,0.25039422139525414,0.213742,1.01586,0.288314,0.772373,0.423915,,2.78176,5.88992,5.79341,6.909999847412109,,,,,,,1153.6,5.768,1073.0,5.365,,,,,,,,,,,,,,,,,,,Tigers,22267,669373.0
Paul Skenes,PIT,13.4874,9.1314,21.2696,2.91823,32.0,32.0,0.0,0.0,,193.982,785.35,158.023,69.1717,62.8981,17.5661,51.5779,0.5026,7.1695,236.929,10.9926,2.39302,4.59362,0.815,0.301686,0.0656751,0.2360110878944397,0.217482,1.08052,0.297511,0.759043,0.443775,,2.77811,5.68038,5.7358,9.65999984741211,,,,,,,1100.4,5.6721649484536085,1033.0,5.324742268041237,,,,,,,,,,,,,,,,,,,Pirates,33677,694973.0
Garrett Crochet,BOS,13.6122,8.9329,20.7264,3.0205,32.0,32.0,0.0,0.0,,192.855,773.898,157.545,70.8392,64.7244,19.4998,49.9148,0.493,6.0093,238.636,11.1365,2.32938,4.78087,0.91,0.308356,0.0644979,0.2438579648733139,0.21943,1.07573,0.300203,0.758329,0.454958,,2.84475,5.58995,5.39046,12.100000381469727,,,,,,,1093.7,5.666839378238342,1028.0,5.3264248704663215,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979.0
Cristopher Sánchez,PHI,13.5489,9.3101,21.1273,3.14678,32.0,32.0,0.0,0.0,,198.055,812.033,182.629,77.1552,69.2484,17.5609,50.5572,0.4953,6.6741,191.375,8.69646,2.29742,3.78532,0.798,0.235674,0.06226,0.17341412603855133,0.241956,1.17738,0.302396,0.747988,0.545382,,3.22216,4.7039,5.14773,25.170000076293945,,,,,,,976.0,4.929292929292929,964.0,4.8686868686868685,,,,,,,,,,,,,,,,,,,Phillies,20778,650911.0
Chris Sale,ATL,11.857,7.6914,17.7409,3.18977,27.54,27.54,0.0,0.0,,168.535,685.38,139.603,64.9399,59.732,18.1269,44.2858,0.5229,8.6056,205.599,10.9793,2.36492,4.64255,0.968,0.299978,0.064615,0.23536302894353867,0.22072,1.0911,0.29718,0.750413,0.416542,,3.03501,4.15253,4.32281,39.209999084472656,,,,,,,918.2,5.433136094674556,864.0,5.112426035502959,,,,,,,,,,,,,,,,,,,Braves,10603,519242.0
Logan Webb,SFG,12.6096,10.3779,20.7487,3.31609,32.0,32.0,0.0,0.0,,199.392,830.798,193.78,81.7519,73.4667,16.616,47.1769,0.7552,6.0499,187.374,8.45756,2.12944,3.97173,0.75,0.225535,0.056785,0.16875005140900612,0.249212,1.20846,0.308874,0.731323,0.547548,,3.13985,4.10875,3.93109,57.72999954223633,,,,,,,974.1000000000003,4.894974874371861,989.0,4.969849246231155,,,,,,,,,,,,,,,,,,,Giants,17995,657277.0
Cole Ragans,KCR,11.7931,8.5604,17.351,3.31066,29.16,29.16,0.0,0.0,,172.018,711.112,139.944,68.708,63.277,18.9602,62.2671,0.598,5.6349,210.666,11.022,3.25782,3.38326,0.992,0.296248,0.087563,0.20868513733148575,0.217571,1.17552,0.292525,0.759979,0.398402,,3.3029,4.0662,4.11862,47.779998779296875,,,,,,,893.0999999999999,5.192441860465116,831.0,4.8313953488372094,,,,,,,,,,,,,,,,,,,Royals,21846,666142.0
Jacob deGrom,TEX,11.3983,9.1417,17.129,3.52076,29.16,29.16,0.0,0.0,,174.797,715.795,152.541,73.6391,68.3798,23.5976,39.7975,0.4402,5.3427,202.858,10.4448,2.04911,5.09724,1.215,0.283402,0.055599,0.2278027944266796,0.227451,1.10035,0.290282,0.745122,0.378878,,3.3438,4.04917,3.37753,49.970001220703125,,,,,,,873.0,4.988571428571428,834.0,4.765714285714286,,,,,,,,,,,,,,,,,,,Rangers,10954,594798.0
Sonny Gray,BOS,11.5539,9.9639,16.9852,3.69298,30.78,30.78,0.0,0.0,,181.357,757.232,171.266,80.902,74.4165,21.1382,47.9017,0.5013,5.6603,189.679,9.41298,2.37716,3.95976,1.049,0.25049,0.0632589,0.18723100423812866,0.243389,1.20849,0.304609,0.729348,0.450923,,3.4446,3.88201,3.47428,137.82000732421875,,,,,,,854.5000000000001,4.720994475138122,850.0,4.696132596685083,,,,,,,,,,,,,,,,,,,Red Sox,12768,543243.0
Dylan Cease,TOR,11.8882,9.4002,16.9304,3.5388,30.78,30.78,0.0,0.0,,177.809,746.471,149.425,75.665,69.9147,21.1198,64.9408,1.1317,5.6523,208.814,10.5693,3.28704,3.21545,1.069,0.279735,0.0869971,0.19273797422647476,0.221082,1.20559,0.287715,0.750553,0.381152,,3.52155,3.75627,3.24935,74.2699966430664,,,,,,,876.5000000000001,4.924157303370787,822.0,4.617977528089888,,,,,,,,,,,,,,,,,,,Blue Jays,18525,656302.0
Framber Valdez,DET,11.9246,10.1132,19.3353,3.43238,30.78,30.78,0.0,0.0,,190.384,795.919,179.833,80.5328,72.6077,15.5057,62.026,0.4226,7.8525,176.216,8.33023,2.93215,2.841,0.733,0.221399,0.07793,0.14346899837255478,0.247689,1.27037,0.307544,0.732797,0.555109,,3.44387,3.72663,3.61253,81.8499984741211,,,,,,,883.2,4.648421052631579,884.0,4.652631578947369,,,,,,,,,,,,,,,,,,,Tigers,17295,664285.0
Zack Wheeler,PHI,10.7572,7.4355,16.0582,3.19761,25.92,25.92,0.0,0.0,,154.827,628.357,129.214,59.8908,55.0086,17.8051,39.0958,0.4907,6.8623,177.746,10.3322,2.27261,4.54642,1.035,0.282874,0.0622191,0.22065496072173119,0.221866,1.08708,0.287992,0.756152,0.415291,,3.22459,3.71717,4.05929,111.97000122070312,,,,,,,808.1999999999999,5.2141935483870965,759.0,4.896774193548387,,,,,,,,,,,,,,,,,,,Phillies,10310,554430.0
Max Fried,NYY,12.8261,9.1081,19.6955,3.28038,30.78,30.78,0.0,0.0,,189.434,789.308,175.559,76.511,69.0461,18.6698,54.2507,0.6299,7.4155,179.617,8.53361,2.57745,3.31087,0.887,0.227563,0.068732,0.1588309109210968,0.241271,1.21314,0.296378,0.752674,0.50471,,3.49659,3.69367,3.81124,50.09000015258789,,,,,,,884.3000000000001,4.678835978835979,875.0,4.62962962962963,,,,,,,,,,,,,,,,,,,Yankees,13743,608331.0
Hunter Brown,HOU,11.901,9.7671,17.6647,3.62765,30.78,30.78,0.0,0.0,,184.176,769.968,164.896,81.017,74.2364,20.8733,60.8491,0.5467,7.1746,200.264,9.78614,2.97346,3.29116,1.02,0.260094,0.0790281,0.1810661107301712,0.234914,1.2257,0.299545,0.736446,0.472946,,3.54179,3.58537,3.27611,36.400001525878906,,,,,,,870.3000000000002,4.729891304347827,843.0,4.581521739130435,,,,,,,,,,,,,,,,,,,Astros,25880,686613.0
Jesús Luzardo,PHI,11.9152,9.561,17.3392,3.57009,30.78,30.78,0.0,0.0,,180.975,751.557,158.583,77.7547,71.7885,23.3257,57.4039,0.7162,5.5938,197.771,9.83531,2.85473,3.44526,1.16,0.263149,0.07638,0.1867690533399582,0.230311,1.19346,0.289344,0.754003,0.404283,,3.66937,3.513,3.86383,71.11000061035156,,,,,,,850.1,4.6966850828729285,813.0,4.49171270718232,,,,,,,,,,,,,,,,,,,Phillies,19959,666200.0
Yoshinobu Yamamoto,LAD,11.0096,7.1462,15.2711,3.4509,25.92,25.92,0.0,0.0,,154.428,639.985,139.078,64.9672,59.213,16.7469,47.1599,0.4077,5.2082,162.623,9.47756,2.74845,3.44833,0.976,0.254104,0.0736891,0.18041500449180603,0.236681,1.20598,0.299649,0.744941,0.492277,,3.45612,3.42932,3.29854,26.639999389648438,,,,,,,739.1000000000003,4.799350649350651,719.0,4.6688311688311686,,,,,,,,,,,,,,,,,,,Dodgers,33825,808967.0
Nathan Eovaldi,TEX,11.0534,9.4896,16.6787,3.64849,29.16,29.16,0.0,0.0,,174.547,724.26,164.571,77.0771,70.7591,20.5189,44.5268,0.6917,7.0847,171.558,8.84588,2.2959,3.85291,1.058,0.236873,0.061479,0.17539405077695847,0.244662,1.19795,0.299752,0.731939,0.459884,,3.58467,3.35654,3.04559,133.5399932861328,,,,,,,795.7,4.546857142857143,790.0,4.514285714285714,,,,,,,,,,,,,,,,,,,Rangers,9132,543135.0
Joe Ryan,MIN,10.7164,9.7398,15.8644,3.81379,29.16,29.16,0.0,0.0,,172.8,713.46,154.762,78.1224,73.2248,24.8832,41.9322,0.3439,8.1834,189.39,9.86407,2.18397,4.51658,1.296,0.265453,0.058773,0.20668010786175728,0.233306,1.13828,0.289218,0.732569,0.335611,,3.68518,3.32575,2.96153,78.80999755859375,,,,,,,797.7,4.6109826589595375,768.0,4.4393063583815024,,,,,,,,,,,,,,,,,,,Twins,21390,657746.0
Bryan Woo,SEA,12.3752,10.3678,19.0683,3.59504,32.0,32.0,0.0,0.0,,195.095,801.211,176.21,84.2385,77.9304,26.056,44.2004,0.6634,7.5362,195.524,9.01981,2.03903,4.42359,1.202,0.244036,0.055167,0.18886898085474968,0.235112,1.12976,0.284441,0.740339,0.394698,,3.66252,3.30665,2.9463,34.900001525878906,,,,,,,901.6,4.6235897435897435,873.0,4.476923076923077,,,,,,,,,,,,,,,,,,,Mariners,30279,693433.0
Ranger Suarez,BOS,10.7854,9.5897,15.882,3.74258,29.16,29.16,0.0,0.0,,171.504,723.339,170.101,78.0959,71.3185,18.2556,49.3505,0.8123,5.6681,153.199,8.03942,2.58977,3.1043,0.958,0.211794,0.068226,0.14356808364391327,0.25452,1.27957,0.305606,0.729036,0.489771,,3.69478,3.25673,3.19535,183.5800018310547,,,,,,,750.3999999999999,4.362790697674418,767.0,4.459302325581396,,,,,,,,,,,,,,,,,,,Red Sox,17277,624133.0
Drew Rasmussen,TBR,10.5257,10.4268,15.2184,3.71755,30.78,30.78,0.0,0.0,,171.003,713.704,163.778,76.9561,70.6349,19.4944,45.0319,0.6031,6.0294,160.811,8.46357,2.37005,3.57105,1.026,0.225319,0.063096,0.16222286224365234,0.247158,1.22108,0.299133,0.726396,0.456954,,3.63214,3.23946,2.90128,133.2100067138672,,,,,,,774.3000000000001,4.528070175438597,777.0,4.543859649122807,,,,,,,,,,,,,,,,,,,Rays,25385,656876.0
Shane McClanahan,TBR,9.1087,7.8198,14.1555,3.35292,24.3,24.3,0.0,0.0,,142.175,583.64,123.164,57.8202,52.9667,16.2869,41.7903,0.4657,4.0761,157.867,9.99336,2.64543,3.7776,1.031,0.270487,0.0716029,0.19888390600681305,0.229027,1.16023,0.293927,0.753656,0.444955,,3.37143,3.22638,3.05982,186.52000427246094,,,,,,,712.2,5.0154929577464795,680.0,4.788732394366197,,,,,,,,,,,,,,,,,,,Rays,21483,663556.0
Logan Gilbert,SEA,11.2004,8.8535,16.1702,3.39845,29.16,29.16,0.0,0.0,,166.486,678.151,144.34,68.0851,62.8661,20.8848,38.8357,0.9284,5.8925,181.707,9.82279,2.0994,4.67885,1.129,0.267944,0.057267,0.2106771171092987,0.227873,1.10025,0.286551,0.747647,0.398084,,3.38905,3.18058,2.91155,37.11000061035156,,,,,,,824.7000000000002,4.968072289156628,786.0,4.734939759036145,,,,,,,,,,,,,,,,,,,Mariners,22250,669302.0
