Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Javier Assad","CHC",6.05102,5.34276,6.11235,4.2285,31.5614,20.4526,0,0.46238,0,120.508,519.521,117.019,61.542,56.6186,15.6647,46.819,1.14159,5.00489,100.141,7.47888,3.49662,2.13889,1.1699,0.192755,0.0901194,0.10263597965240479,0.250203,1.35956,0.288027,0.720865,,,4.4845,0.924998,1.18516,648.7100219726562,2.02786,-0.0725684,0.705984,2.02786,0.0725684,4.05869,438.40000000000015,3.6231404958677698,441,3.644628099173554,,,,,,,,,,,,,,,,,,,"Javier Assad","21741",665871
"Félix Bautista","BAL",3.91142,2.4527,0,2.69533,51.8385,0,26.7882,2.14433,4.19789,55.3423,223.98,37.7749,18.0152,16.574,5.20519,22.8388,1.02538,2.32018,79.9805,13.0068,3.71414,3.50196,0.84649,0.357088,0.101968,0.2551196962594986,0.189995,1.09525,0.286616,0.798825,,,2.86261,0.905293,1.03874,63.790000915527344,2.84164,0.67587,1.85609,2.84164,-0.67587,2.52522,474.7,8.63090909090909,438,7.963636363636364,,,,,,,,,,,,,,,,,,,"Felix Bautista","20666",642585
"Gerrit Cole","NYY",3.72352,2.64689,4.23721,3.7836,9.0465,9.0465,0,0,0,54.2754,222.348,47.5031,24.8015,22.8174,7.80981,14.9303,0.310882,1.9732,56.2516,9.3277,2.47575,3.76762,1.29503,0.252989,0.0671482,0.18584094941616058,0.231221,1.15031,0.28075,0.73072,,,3.89857,0.898768,0.864676,148.97000122070312,5.3096,0.742276,0.839432,5.3096,-0.742276,3.88076,237.40000000000003,4.396296296296297,227,4.203703703703703,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Mitch Spence","ATH",6.02256,7.36902,6.77478,4.51033,26.7398,20.2004,0,0.36895,0,121.42,520.963,125.589,66.1405,60.8493,17.5369,36.7436,0.943982,5.29863,96.3753,7.14362,2.72354,2.62291,1.29989,0.184995,0.0705302,0.11446437239646912,0.262233,1.33695,0.296025,0.698151,,,4.49539,0.882601,0.832283,571.1599731445312,3.06669,-0.683429,0.749322,3.06669,0.683429,4.0009,412.4000000000001,3.408264462809918,437,3.6115702479338845,,,,,,,,,,,,,,,,,,,"Mitch Spence","27707",687765
"Dustin May","LAD",4.46969,3.26036,3.60083,3.61638,35.3969,6.91219,0,1.84213,0,69.0211,287.54,59.1675,30.1457,27.734,6.96796,23.5806,0.563011,3.94076,67.467,8.79735,3.07479,2.86113,0.908587,0.234635,0.0820079,0.15262705087661743,0.227551,1.19888,0.281272,0.72065,,,3.72013,0.872651,0.999549,379.1400146484375,3.66698,0.0168394,0.687614,3.66698,-0.0168394,4.08318,329.1,4.769565217391305,312,4.521739130434782,,,,,,,,,,,,,,,,,,,"Dustin May","19716",669160
"Jeff Hoffman","TOR",3.39863,2.41472,0,3.08556,60.4645,0,25.7886,4.74588,2.9111,62.0191,252.782,48.1591,23.1116,21.2626,6.72339,21.1646,1.37375,3.04124,76.7966,11.1445,3.07133,3.62854,0.975676,0.303805,0.0837264,0.2200784981250763,0.210691,1.11778,0.285652,0.771347,,,3.27013,0.858861,0.907042,98.72000122070312,2.08068,-0.659417,1.82546,2.08068,0.659417,2.56606,479.8999999999999,7.74032258064516,451,7.274193548387097,,,,,,,,,,,,,,,,,,,"Jeff Hoffman","17432",656546
"Aaron Bummer","ATL",4.61249,2.79227,0,3.47798,60.3102,0,0.984053,12.3072,3.5459,62.0332,264.879,56.1595,26.0568,23.9723,3.51845,25.1185,1.52848,3.08441,71.2439,10.3363,3.64428,2.83631,0.510469,0.268968,0.09483,0.17413756996393204,0.237284,1.31023,0.325118,0.723243,,,2.97079,0.858203,0.702928,745.5900268554688,4.15805,-0.999432,0.642976,4.15805,0.999432,4.1427,374.9999999999999,6.048387096774191,369,5.951612903225806,,,,,,,,,,,,,,,,,,,"Aaron Bummer","16258",607481
"Michael Lorenzen","KCR",7.6893,8.10772,8.44368,4.44535,38.526,21.4563,0.0011673,0.283919,0,135.058,585.007,129.68,72.5097,66.7089,17.4332,56.8046,0.751503,5.50318,104.999,6.99692,3.78535,1.84842,1.16172,0.179483,0.0971009,0.08238227665424347,0.248097,1.38078,0.28043,0.703211,,,4.67367,0.854279,0.880678,551.8099975585938,5.34435,0.983192,1.19493,5.34435,-0.983192,3.40675,472.9,3.502962962962963,475,3.5185185185185186,,,,,,,,,,,,,,,,,,,"Michael Lorenzen","14843",547179
"Jordan Montgomery","ARI",6.4927,5.79826,6.66174,4.30436,30.8456,15.5903,0.142834,0.844398,0,104.443,446.721,107.993,54.2947,49.9511,12.598,31.7612,1.00553,3.03781,82.3523,7.09641,2.73691,2.59286,1.08559,0.184348,0.0710985,0.11324991285800934,0.262168,1.33809,0.300956,0.699816,,,4.15713,0.853614,1.01644,494.19000244140625,2.3716,-1.11982,0.490097,2.3716,1.11982,4.34654,391.90000000000003,3.768269230769231,414,3.980769230769231,,,,,,,,,,,,,,,,,,,"Jordan Montgomery","16511",656756
"Osvaldo Bido","ATH",5.15094,6.38717,5.50034,4.43268,31.1283,14.1459,0,1.14624,0,94.9793,408.045,86.0303,50.8469,46.7792,12.5587,38.1931,1.92002,7.43209,88.4794,8.38409,3.61908,2.31664,1.19004,0.216837,0.0936001,0.1232372522354126,0.237377,1.3079,0.281089,0.688069,,,4.4634,0.84499,0.60998,445.3399963378906,1.55258,-0.837556,0.28884,1.55258,0.837556,4.61488,364.5,3.836842105263158,351,3.694736842105263,,,,,,,,,,,,,,,,,,,"Osvaldo Bido","23150",674370
"Luis L. Ortiz","CLE",7.68928,7.56669,7.47043,4.33832,31.4892,22.472,0.0466514,0.849729,0.606049,141.074,604.525,135.468,73.9158,68.0026,19.4218,51.8931,1.47637,6.63856,116.149,7.40986,3.31059,2.23823,1.23904,0.192132,0.0858412,0.10629081726074219,0.248114,1.32811,0.282749,0.708278,,,4.55427,0.835131,1.08322,382.92999267578125,4.8248,-0.0126145,0.984738,4.8248,0.0126145,3.68702,517.7,3.671631205673759,517,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Luis L. Ortiz","27646",682847
"Paul Blackburn","NYM",5.36666,5.31656,5.4203,4.40196,35.7485,13.7639,0,0.616529,0,97.7641,418.198,98.4674,51.9751,47.8171,13.1236,31.278,0.83381,3.9589,82.7838,7.62094,2.8794,2.64671,1.20813,0.197954,0.0747923,0.12316137552261353,0.257121,1.32713,0.29731,0.69829,,,4.2993,0.832884,0.647965,652.0900268554688,3.63916,-0.0893291,0.33283,3.63916,0.0893291,4.55623,375.50000000000006,3.831632653061225,386,3.938775510204082,,,,,,,,,,,,,,,,,,,"Paul Blackburn","14739",621112
"Ben Brown","CHC",2.74585,2.2354,1.54124,3.58045,24.9938,4.41102,0,2.07687,0,47.5824,196.901,38.9261,20.5756,18.9296,4.80687,17.6176,0.663934,1.89216,55.1689,10.435,3.3323,3.13146,0.909199,0.280187,0.0894747,0.190712071955204,0.219437,1.18833,0.290587,0.722046,,,3.39095,0.830343,0.649035,418.69000244140625,1.91466,1.12502,0.912768,1.91466,-1.12502,3.78298,250.30000000000004,5.2145833333333345,233,4.854166666666667,,,,,,,,,,,,,,,,,,,"Ben Brown","23590",676962
"Tanner Scott","LAD",5.28725,3.61873,0,2.95535,63.2636,0,21.3429,6.41168,3.92587,65.8396,275.658,49.9798,23.4999,21.6199,4.94834,30.8885,1.9679,3.07747,80.5679,11.0133,4.22232,2.60835,0.676417,0.292275,0.112053,0.18022121489048004,0.206791,1.22826,0.288337,0.775871,,,3.24379,0.827612,1.18587,111.66000366210938,2.77804,0.355033,1.46678,2.77804,-0.355033,3.0443,485.9000000000001,7.362121212121213,454,6.878787878787879,,,,,,,,,,,,,,,,,,,"Tanner Scott","17586",656945
