Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",16,8,22,2.74436,32,32,0,0,,200,799,159,67,61,19,46,,8,230,10.3446,2.04946,5.04749,0.832959,0.288443,0.0571458,0.23129698261618614,0.213501,1.02165,0.283194,0.771907,,,2.86952,5.30183,5.83428,14.359999656677246,,,,,,,1130.9,5.6545000000000005,1051,5.255,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",16,7,22,2.54511,31,31,0,0,,173,696,131,53,49,14,50,,7,220,11.4593,2.58337,4.43578,0.716697,0.316042,0.0712484,0.2447940558195114,0.205121,1.04617,0.289394,0.788825,,,2.63875,5.21735,6.09418,11.640000343322754,,,,,,,1036.4,5.990751445086706,952,5.502890173410405,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",15,9,20,3.20622,32,32,0,0,,205,832,168,80,73,24,54,,8,222,9.78986,2.35435,4.1582,1.07181,0.267309,0.0642848,0.20302408188581467,0.217585,1.08133,0.273628,0.756864,,,3.44475,4.48776,5.11724,21.34000015258789,,,,,,,1043,5.087804878048781,971,4.736585365853658,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Garrett Crochet","BOS",14,8,19,3.01246,31,31,0,0,,156,634,126,57,52,15,47,,6,202,11.6532,2.69128,4.32997,0.878313,0.318127,0.073471,0.24465648084878922,0.216974,1.10824,0.304485,0.764352,,,2.86722,4.34045,4.50371,24.09000015258789,,,,,,,887.3000000000001,5.6878205128205135,830,5.32051282051282,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",14,8,20,3.1197,31,31,0,0,,181,739,149,68,63,20,50,,7,217,10.8063,2.51137,4.30297,0.978709,0.29372,0.06826,0.22546028345823288,0.218501,1.10232,0.29065,0.761752,,,3.1389,4.16946,4.77583,35.029998779296875,,,,,,,969.0000000000001,5.353591160220995,908,5.016574585635359,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",14,9,19,3.46207,32,32,0,0,,204,841,198,86,78,16,45,,8,177,7.8401,1.97696,3.96574,0.717734,0.210705,0.0531312,0.1575733870267868,0.250904,1.19198,0.305216,0.71444,,,3.23817,4.02247,3.89043,100.69000244140625,,,,,,,993.0000000000002,4.867647058823531,1007,4.936274509803922,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Logan Gilbert","SEA",14,9,20,3.16936,32,32,0,0,,198,803,165,76,70,24,44,,8,207,9.3662,1.99149,4.7031,1.07255,0.257219,0.0546914,0.20252804458141327,0.220017,1.05423,0.271813,0.75458,,,3.41449,3.76805,4.18519,26.260000228881836,,,,,,,999,5.045454545454546,936,4.7272727272727275,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Framber Valdez","HOU",12,8,18,3.3429,29,29,0,0,,182,757,162,74,68,15,58,,8,179,8.84321,2.87732,3.07342,0.738994,0.236184,0.0768474,0.15933702886104584,0.234233,1.20923,0.29544,0.734316,,,3.35658,3.69398,3.83017,63,,,,,,,901.0999999999999,4.9510989010989,875,4.8076923076923075,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","SDP",14,9,20,3.30828,32,32,0,0,,187,776,147,75,69,22,71,,8,221,10.6107,3.41215,3.10969,1.04065,0.284738,0.0915648,0.1931731402873993,0.210508,1.16152,0.275284,0.76031,,,3.58322,3.55455,4.06907,46.90999984741211,,,,,,,935.9999999999998,5.005347593582886,854,4.566844919786096,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Pablo López","MIN",13,10,18,3.72274,32,32,0,0,,194,803,179,88,80,24,50,,8,199,9.21599,2.31522,3.98061,1.11175,0.247929,0.0622842,0.18564482778310776,0.239823,1.17633,0.296316,0.7221,,,3.61792,3.53139,3.12724,70.76000213623047,,,,,,,899.0000000000001,4.634020618556701,882,4.546391752577319,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
