Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jordano Perez",,0.0418,0.0802,0.0508,5.79105,0.1754,0.1754,0,0,,1,4.579,1.1634,0.6856,0.64345,0.168778,0.4774,0.0031,0.0458,0.5574,5.0166,4.2966,1.16757,1.519,0.12173,0.104259,0.017471060156822205,0.286848,1.6408,0.298719,0.680094,0.422992,,5.81539,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jordano Perez","sa3008690",682852
"Raimon Gomez","NYM",0.046,0.0758,0.0538,5.6394,0.1754,0.1754,0,0,,1,4.585,1.0891,0.6668,0.6266,0.170889,0.5365,0.0031,0.0494,0.6649,5.9841,4.8285,1.23933,1.538,0.145016,0.117012,0.028004370629787445,0.272336,1.6256,0.290269,0.691597,0.395184,,5.81594,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Raimon Gomez","sa3017645",703148
"Jacob Bresnahan","SFG",0.041,0.081,0.053,5.68161,0.1754,0.1754,0,0,,1,4.655,1.11,0.6729,0.63129,0.153556,0.5853,0.0032,0.0454,0.6193,5.5737,5.2677,1.05809,1.382,0.13304,0.125736,0.007303968071937561,0.275824,1.6953,0.29416,0.69066,0.400202,,5.8162,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jacob Bresnahan","sa3023066",815298
"Gilberto Batista","TOR",0.0426,0.0771,0.0465,5.76234,0.2488,0.1598,0,0,,1,4.591,1.132,0.6813,0.64026,0.171222,0.5058,0.0052,0.0458,0.6142,5.5278,4.5522,1.21431,1.541,0.133783,0.110172,0.023611411452293396,0.28024,1.6378,0.295263,0.684148,0.403922,,5.81877,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Gilberto Batista","sa3020987",807625
"T.J. Nichols","TBR",0.0417,0.0789,0.0484,5.76045,0.22,0.166,0,0,,1,4.584,1.1626,0.6835,0.64005,0.166778,0.4966,0.0043,0.043,0.5673,5.1057,4.4694,1.14237,1.501,0.123757,0.108333,0.015423208475112915,0.287459,1.6592,0.300823,0.68436,0.447186,,5.81879,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"T.J. Nichols","sa3023039",694375
"Juan Salas","STL",0.0434,0.0784,0.0539,5.63166,0.1754,0.1754,0,0,,1,4.509,1.1305,0.6639,0.62574,0.185,0.4173,0.0031,0.0468,0.5708,5.1372,3.7557,1.36784,1.665,0.126591,0.0925482,0.03404302895069122,0.279488,1.5478,0.287465,0.685832,0.366693,,5.82218,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Juan Salas","sa3016216",692401
"Sandro Bargallo","MIA",0.0384,0.0833,0.0529,5.62437,0.1919,0.1719,0,0,,1,4.715,1.1067,0.6713,0.62493,0.127667,0.6975,0.0036,0.05,0.6225,5.6025,6.2775,0.892473,1.149,0.132025,0.147932,-0.015906676650047302,0.278941,1.8042,0.3043,0.696969,0.476344,,5.82365,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sandro Bargallo","sa3009639",686488
"Emmanuel Reyes","KCR",0.0413,0.0803,0.0479,5.88996,0.1911,0.1721,0,0,,1,4.572,1.1939,0.6962,0.65444,0.167,0.4417,0.0035,0.0472,0.49,4.41,3.9753,1.10935,1.503,0.107174,0.0966098,0.010564304888248444,0.2924,1.6356,0.299729,0.670138,0.411635,,5.82418,-0.0000999029,-0.000679999,999,,,,,,,4.800000000000001,4.800000000000001,5,5,,,,,,,,,,,,,,,,,,,"Emmanuel Reyes","sa3019071",800539
"Juan Bello","HOU",0.0433,0.0785,0.0508,5.79492,0.1754,0.1754,0,0,,1,4.57,1.1412,0.6859,0.64388,0.171222,0.4942,0.0031,0.0472,0.5961,5.3649,4.4478,1.20619,1.541,0.130438,0.10814,0.022297590970993042,0.283275,1.6354,0.297423,0.680309,0.424323,,5.82437,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Juan Bello","sa3019615",805694
"Miguelangel Boadas","MIN",0.0413,0.079,0.047,5.77701,0.2332,0.1632,0,0,,1,4.61,1.1136,0.6827,0.64189,0.166778,0.5261,0.0048,0.0694,0.6479,5.8311,4.7349,1.23151,1.501,0.140542,0.114121,0.02642083168029785,0.277394,1.6397,0.295898,0.680552,0.407843,,5.82529,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Miguelangel Boadas","sa3015427",691629
