Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX",10.1383,8.67163,12.7738,4.17019,26.191,26.191,0,0,,158.928,667.031,144.894,78.82,73.64,22.6379,50.1408,0.32911,6.55033,155.548,8.80862,2.83945,3.10223,1.28197,0.233195,0.0751702,0.15802498161792755,0.237399,1.22719,0.282901,0.711483,,,4.13087,2.24163,1.98151,202.02000427246094,,,,,,,657.7000000000003,4.136477987421386,637,4.0062893081761,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Ryan Pepiot","TBR",9.14619,9.67216,10.5651,4.13025,27.673,27.673,0,0,,150.877,628.375,130.085,73.97,69.24,24.0108,46.6936,0.359512,7.4336,152.669,9.10691,2.78533,3.2696,1.43227,0.242959,0.0743085,0.16865034401416779,0.226532,1.17168,0.266809,0.718121,,,4.28781,2.17585,1.98782,166.92999267578125,,,,,,,628.2,4.160264900662252,587,3.8874172185430464,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"Clarke Schmidt","NYY",8.60692,8.5877,7.14041,4.0725,28.926,23.703,0,0.6608,,133.768,564.218,122.816,65.01,60.53,17.1784,42.0117,0.655946,7.34081,130.982,8.81255,2.82658,3.11775,1.15577,0.232147,0.07446,0.15768739581108093,0.238541,1.23219,0.288073,0.709045,,,3.98441,2.15957,1.77986,233.91000366210938,,,,,,,581.6999999999998,4.341044776119402,568,4.2388059701492535,,,,,,,,,,,,,,,,,,,"Clarke Schmidt","19899",657376
"Carlos Rodón","NYY",9.78709,9.86484,12.2709,4.43979,28.308,28.308,0,0,,161.724,685.723,140.755,84.99,79.78,26.3113,60.9691,0.388395,6.73638,179.066,9.96511,3.39296,2.937,1.46423,0.261135,0.0889122,0.1722230166196823,0.227753,1.24734,0.277346,0.707959,,,4.32296,2.15595,1.55966,135.69000244140625,,,,,,,666.4,4.11358024691358,626,3.8641975308641974,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Sean Manaea","NYM",10.0755,9.11343,11.0245,4.23298,25.521,25.196,0,0,,146.535,620.398,130.593,73.84,68.92,21.0855,53.4611,0.372123,5.99535,149.964,9.21062,3.28351,2.80511,1.29505,0.241723,0.0861723,0.1555505245923996,0.23281,1.25604,0.280866,0.7132,,,4.20754,2.13282,1.72136,237.42999267578125,,,,,,,611.9,4.162585034013605,585,3.979591836734694,,,,,,,,,,,,,,,,,,,"Sean Manaea","15873",640455
"Taj Bradley","TBR",9.53818,10.1665,11.7875,4.26001,28.568,28.568,0,0,,160.415,674.316,144.998,81.15,75.93,25.9513,51.8156,0.358772,5.83268,166.885,9.36298,2.90709,3.22074,1.45598,0.247487,0.0768418,0.1706455647945404,0.235132,1.2269,0.280883,0.720727,,,4.26701,2.12675,1.83959,197,,,,,,,647.2,4.045,622,3.8875,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Roki Sasaki","LAD",9.15293,6.71311,9.96742,4.14968,22.704,22.704,0,0,,131.345,555.446,121.764,65.04,60.56,17.7058,42.6502,0.291618,6.45859,133.372,9.13886,2.92247,3.1271,1.21323,0.240116,0.0767855,0.16333048790693283,0.24048,1.25177,0.292907,0.711716,,,4.00974,2.07843,1.64164,97.79000091552734,,,,,,,549.8000000000002,4.196946564885498,540,4.122137404580153,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Chris Bassitt","TOR",10.2742,10.5732,13.8134,4.44984,29.492,29.492,0,0,,174.485,747.373,164.9,92.24,86.27,24.2354,62.1652,0.720085,10.1892,155.475,8.01947,3.2065,2.501,1.25007,0.208029,0.0831782,0.12485071271657944,0.244289,1.30134,0.283993,0.698085,,,4.43405,2.04194,1.60487,349.7099914550781,,,,,,,657.4000000000001,3.7781609195402304,652,3.7471264367816093,,,,,,,,,,,,,,,,,,,"Chris Bassitt","12304",605135
"Jesús Luzardo","PHI",8.67466,9.18143,7.75364,4.25668,31.012,24.302,0,0.5949,,143.055,606.626,134.267,73.2,67.66,20.3056,47.0877,0.905566,5.35901,142.255,8.94967,2.96242,3.02106,1.27748,0.234502,0.0776223,0.1568795144557953,0.24228,1.26772,0.290999,0.707231,,,4.12278,2.03955,1.50317,246.0500030517578,,,,,,,595.8000000000001,4.166433566433567,587,4.104895104895105,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Kumar Rocker","TEX",7.13944,6.9225,4.02405,3.70991,25.75,20.311,0,0.6243,,106.062,438.149,89.8653,46.72,43.72,12.782,32.7304,0.55895,4.5562,112.439,9.54116,2.77737,3.43532,1.08463,0.256624,0.0747015,0.18192235380411148,0.22418,1.15589,0.279651,0.72469,,,3.66757,1.97479,1.85559,299.1199951171875,,,,,,,504.5000000000001,4.759433962264152,475,4.481132075471698,,,,,,,,,,,,,,,,,,,"Kumar Rocker","31843",677958
"Eduardo Rodriguez","ARI",8.55595,8.97128,8.15809,4.34894,27.014,23.546,0,0.6241,,133.067,568.585,129.742,68.99,64.3,16.9946,44.9643,0.658835,4.11179,121.529,8.21966,3.04117,2.7028,1.14943,0.21374,0.0790811,0.13465914875268936,0.249739,1.31292,0.295936,0.700507,,,4.1066,1.96164,1.32658,395.9800109863281,,,,,,,538.1,4.045864661654136,545,4.097744360902255,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez","13164",593958
"Drew Rasmussen","TBR",6.06573,6.51295,3.02254,3.68709,33.502,16.578,0,0.6853,,105.449,434.033,93.9901,46.23,43.2,11.7149,27.3708,0.919487,3.74723,98.8275,8.43486,2.33608,3.61069,0.99986,0.227696,0.0630615,0.1646343171596527,0.233275,1.1509,0.281406,0.715805,,,3.62161,1.91708,1.77925,241.77999877929688,,,,,,,494,4.704761904761905,478,4.552380952380952,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Spencer Arrighetti","HOU",8.44174,9.61577,10.3629,4.52972,26.642,26.642,0,0,,144.923,622.116,131.801,78.05,72.94,21.0762,57.738,0.317167,7.2488,153.153,9.51113,3.58564,2.65256,1.30888,0.246181,0.092809,0.15337245166301727,0.236572,1.30786,0.289175,0.696666,,,4.28876,1.89386,1.20317,202.36000061035156,,,,,,,582.5,4.017241379310345,563,3.882758620689655,,,,,,,,,,,,,,,,,,,"Spencer Arrighetti","29921",681293
"Nick Lodolo","CIN",7.87133,8.76344,10.2442,4.43015,24.014,24.014,0,0,,136.255,585.019,131.603,72.04,67.07,19.1283,44.4842,0.413598,10.6474,141.944,9.37578,2.9383,3.19089,1.26347,0.242632,0.0760389,0.16659299284219742,0.24836,1.29233,0.304962,0.696864,,,4.12185,1.86898,1.24476,243.57000732421875,,,,,,,548.5,4.033088235294118,552,4.0588235294117645,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Mitchell Parker","WSN",7.85071,11.1595,8.24004,4.494,29.301,25.56,0,0.614,,140.207,602.994,140.422,75.28,70.01,18.8462,47.0649,0.642587,4.08269,121.442,7.79547,3.02114,2.58031,1.20975,0.201399,0.0780521,0.12334644794464111,0.254458,1.33721,0.295404,0.696495,,,4.27598,1.86381,1.16009,507.760009765625,,,,,,,531.3,3.7949999999999995,546,3.9,,,,,,,,,,,,,,,,,,,"Mitchell Parker","27636",680730
"David Festa","MIN",5.29024,7.18202,2.23602,4.063,29.177,17.468,0,0.6191,,103.933,440.97,93.3055,50.25,46.92,12.2839,38.1391,1.0271,4.49281,113.836,9.85755,3.30263,2.98476,1.06372,0.258149,0.0864891,0.17166004329919815,0.234237,1.26471,0.297635,0.710693,,,3.74295,1.86017,1.34079,317.1000061035156,,,,,,,486.2,4.675,470,4.519230769230769,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Jameson Taillon","CHC",9.76703,10.1279,13.0674,4.50022,28.26,28.26,0,0,,166.012,699.481,164.217,88.93,83.01,25.3196,42.1598,0.326509,5.61873,122.246,6.62731,2.28561,2.89958,1.37265,0.174766,0.060273,0.11449338868260384,0.251982,1.24315,0.275516,0.687108,,,4.53987,1.83923,1.40821,350.2200012207031,,,,,,,594.5000000000001,3.58132530120482,605,3.644578313253012,,,,,,,,,,,,,,,,,,,"Jameson Taillon","11674",592791
"David Peterson","NYM",8.98504,8.96874,8.91716,4.31267,27.137,24.279,0,0.6629,,138.151,596.405,134.162,71.05,66.2,15.55,54.2664,0.56012,6.64782,125.304,8.16304,3.53524,2.30905,1.01302,0.210098,0.0909892,0.11910901218652725,0.250541,1.36393,0.30056,0.704305,,,4.1385,1.83662,1.43687,347.7900085449219,,,,,,,547.0000000000001,3.9637681159420297,553,4.007246376811594,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Miles Mikolas","STL",8.78615,11.3745,13.3317,4.79984,28.743,28.743,0,0,,167.912,716.717,181.956,95.8,89.55,24.9754,35.5889,0.345915,6.68309,110.447,5.91991,1.90755,3.10341,1.33867,0.154101,0.0496555,0.1044459380209446,0.269786,1.29559,0.291232,0.666805,,,4.53983,1.81293,0.843703,596.4299926757812,,,,,,,553.5,3.294642857142857,606,3.607142857142857,,,,,,,,,,,,,,,,,,,"Miles Mikolas","9803",571945
"Andre Pallante","STL",7.52533,9.52089,5.96957,4.19775,33.496,23.008,0,0.6347,,139.832,600.708,138.346,69.67,65.22,10.6638,53.3981,0.931384,6.15169,97.728,6.29006,3.43686,1.83018,0.686352,0.162688,0.0888921,0.07379606366157532,0.255649,1.37125,0.295038,0.690407,,,4.03769,1.79924,1.58735,513.6900024414062,,,,,,,564.9000000000001,4.035000000000001,580,4.142857142857143,,,,,,,,,,,,,,,,,,,"Andre Pallante","26108",669467
"Brady Singer","CIN",9.52065,10.8973,13.5949,4.65981,28.982,28.982,0,0,,170.756,734.253,175.194,94.82,88.41,25.6395,53.2613,0.373706,8.55916,154.225,8.12868,2.80723,2.89562,1.35137,0.210043,0.0725381,0.1375047191977501,0.260538,1.33791,0.303623,0.693994,,,4.39821,1.79421,1.12312,336.9700012207031,,,,,,,612.6000000000001,3.582456140350878,639,3.736842105263158,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Yu Darvish","SDP",7.80093,8.23857,10.2344,4.40986,22.923,22.923,0,0,,132.8,560.327,120.058,69.32,65.07,20.6015,43.7807,0.31976,6.28418,130.398,8.83724,2.96706,2.97844,1.39618,0.232718,0.0781341,0.15458400547504425,0.235286,1.23372,0.276834,0.700155,,,4.35034,1.761,1.35952,231.74000549316406,,,,,,,523.9000000000001,3.939097744360903,502,3.774436090225564,,,,,,,,,,,,,,,,,,,"Yu Darvish","13074",506433
"José Berríos","TOR",10.4657,11.1896,15.4457,4.67998,30.118,30.118,0,0,,185.097,793.18,187.83,103.2,96.25,29.0375,54.7114,0.794842,9.61014,153.003,7.43947,2.66024,2.79654,1.4119,0.192898,0.0689773,0.12392044812440872,0.257704,1.31035,0.290394,0.690189,,,4.59517,1.72499,1.1948,248.63999938964844,,,,,,,634.5,3.4297297297297296,659,3.562162162162162,,,,,,,,,,,,,,,,,,,"Jose Berrios","14168",621244
"Matthew Boyd","CHC",6.58163,6.63589,4.78391,3.89641,22.593,18.374,0,0.6254,,100.2,418.91,87.2203,46.66,43.38,13.3901,32.9705,0.522499,4.48302,105.241,9.45281,2.96142,3.19198,1.2027,0.251226,0.0787055,0.17252089828252792,0.228651,1.19951,0.28091,0.724837,,,3.92446,1.71089,1.47313,316.6000061035156,,,,,,,456.90000000000003,4.569,434,4.34,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"José Soriano","LAA",8.82086,8.56065,10.1104,4.08028,25.324,25.324,0,0,,140.836,604.445,129.989,68.3,63.85,14.9696,58.2943,0.496092,7.99413,124.722,7.97028,3.72525,2.13953,0.956621,0.206342,0.0964427,0.10989933460950851,0.241544,1.3369,0.288656,0.717063,,,4.18913,1.70374,1.9706,326.6600036621094,,,,,,,572.9000000000001,4.063120567375887,562,3.9858156028368796,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Kutter Crawford","BOS",7.23047,7.53914,5.19919,4.2826,39.094,18.843,0,0.642,,130.841,549.171,118.865,66.94,62.26,21.0977,38.2669,1.13089,5.56004,125.612,8.64034,2.63222,3.28254,1.45122,0.228731,0.0696811,0.15904957801103592,0.235216,1.20094,0.272611,0.706861,,,4.3475,1.70164,1.2082,390.1000061035156,,,,,,,525.7000000000002,4.012977099236642,506,3.8625954198473282,,,,,,,,,,,,,,,,,,,"Kutter Crawford","20531",676710
"Ryan Weathers","MIA",7.50364,11.4038,8.72651,4.51058,28.521,25.615,0,0.5898,,140.729,608.595,140.571,75.76,70.53,19.6668,50.9679,0.691945,6.0697,128.713,8.23154,3.25953,2.52538,1.25775,0.211492,0.0837467,0.12774523347616196,0.254863,1.36105,0.299879,0.705947,,,4.3699,1.69874,1.12198,335.9100036621094,,,,,,,521.8000000000001,3.7007092198581564,536,3.801418439716312,,,,,,,,,,,,,,,,,,,"Ryan Weathers","23796",677960
"DJ Herz","WSN",6.49546,9.90519,3.71982,4.11051,32.145,23.078,0,0.614,,122.722,525.135,103.414,60.15,56.05,15.3215,56.4338,1.01674,5.75434,132.179,9.69353,4.13865,2.34219,1.12362,0.251704,0.107465,0.14423920214176178,0.223382,1.30252,0.279263,0.720371,,,4.15559,1.6837,1.55874,340.239990234375,,,,,,,539.9000000000001,4.389430894308944,502,4.08130081300813,,,,,,,,,,,,,,,,,,,"DJ Herz","26389",687792
"Justin Verlander","SFG",7.19439,7.55103,9.46861,4.37033,21.015,21.015,0,0,,122.366,517.363,113.043,63.61,59.42,17.7429,39.0652,0.296031,4.67261,102.07,7.50722,2.87324,2.61281,1.30499,0.197289,0.0755083,0.12178052961826324,0.238675,1.24306,0.269351,0.695367,,,4.45549,1.68188,1.17582,349.7900085449219,,,,,,,459.6000000000002,3.7672131147541,448,3.6721311475409837,,,,,,,,,,,,,,,,,,,"Justin Verlander","8700",434378
