Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.796,638.901,520.057,148.57,73.0518,24.3516,0.684525,50.4825,107.062,121.537,106.839,11.5148,163.299,6.14989,4.5788,0.42317,9.19851,6.53153,1.98252,0.285681,0.167223,0.255594,0.65425,0.410209,0.626353,0.430653,1.03656,0.340671,3.17308,0.315544,,-0.874057,136.688,61.951,186.715,-0.874057,-4.49,62.517537355422974,-12.341825485229492,7.38165,3.1600000858306885,,,,,,,1206.4,8.263013698,1206.4,8.263013698,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Gunnar Henderson","BAL",147.695,645.277,567.974,152.06,85.0955,29.8323,5.51248,31.6195,97.7024,89.8662,67.0576,1.34389,150.27,5.63085,4.13434,0.480062,11.4834,15.0868,3.93125,0.267723,0.103921,0.232877,0.446248,0.348557,0.50667,0.365785,0.855227,0.238947,6.03974,0.308648,,0.190497,104.363,28.8793,143.715,0.190497,1.17,32.4670474678278,7.772758364677429,6.37745,7.659999847412109,,,,,,,941.5,6.361486486,941.5,6.361486486,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Bobby Witt Jr.","KCR",153.255,667.258,607.215,175.46,104.143,35.0214,7.96329,28.3316,105.217,90.8455,47.061,3.79865,111.819,6.38215,5.81818,0.781256,6.7089,37.851,10.4912,0.288958,0.070529,0.16758,0.420869,0.343452,0.512836,0.363519,0.856288,0.223879,7.5381,0.31113,,2.10746,106.701,28.6462,135.029,2.10746,0.34,28.851287126541138,7.435139030218124,6.04483,1.6200000047683716,,,,,,,986.5,6.447712418,986.5,6.447712418,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",152.977,673.747,537.512,143.131,82.333,26.8789,2.01711,31.9023,102.103,89.6984,127.415,7.07339,114.752,4.47793,3.58916,0.752976,15.2191,7.32669,3.45932,0.266285,0.189114,0.17032,1.11035,0.408658,0.501852,0.392032,0.91051,0.235567,3.64138,0.281988,,-1.57065,123.2,44.3868,157.045,-1.57065,-0.31,44.38878548145294,-8.355843126773834,6.03859,7.519999980926514,,,,,,,1051.2,6.870588235,1051.2,6.870588235,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.488,643.675,553.339,160.186,83.9778,27.9562,5.92794,42.3238,117.166,108.979,79.4743,11.546,143.041,5.09337,3.98246,0.606462,7.83542,31.2369,11.6832,0.289489,0.12347,0.222226,0.555603,0.381302,0.590902,0.405756,0.972204,0.301413,6.99167,0.316871,,0.276501,124.811,49.5155,164.467,0.276501,0,49.89726310968399,-13.788826942443848,5.94296,1.5299999713897705,,,,,,,1130.5,7.796551724,1130.5,7.796551724,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"José Ramírez","CLE",152.568,661.858,590.741,162.848,92.7496,35.2399,3.79638,31.0622,96.8093,95.6789,60.5498,12.5926,77.8325,3.89851,6.04727,0.556945,7.03953,31.675,9.24549,0.275667,0.0914846,0.117597,0.777951,0.343744,0.505919,0.356964,0.849664,0.230252,5.95275,0.270112,,1.44924,102.345,24.9226,136.13,1.44924,4.9,28.81055760383606,6.665833234786987,5.94258,4.96999979019165,,,,,,,968.1,6.32745098,968.1,6.32745098,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Mookie Betts","LAD",148.405,652.616,564.239,154.327,91.899,31.8555,2.85894,27.7132,95.6584,88.9705,75.1871,1.40072,87.7995,7.14661,5.29898,0.603808,8.85746,14.4277,3.53443,0.273513,0.115209,0.134535,0.85635,0.363047,0.487452,0.366398,0.8505,0.213939,5.1088,0.278869,,0.0899998,105.872,29.53,137.976,0.0899998,-1.33,29.72668419033289,5.16283643245697,5.84782,12.739999771118164,,,,,,,932.9,6.303378378,932.9,6.303378378,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Yordan Alvarez","HOU",137.506,598.521,512.458,153.664,84.6369,31.9996,1.40225,35.6254,91.9785,100.386,71.1863,9.34781,98.6994,8.93505,5.49527,0.446716,10.2479,2.31819,0.777963,0.299857,0.118937,0.164905,0.721244,0.390897,0.57633,0.406071,0.967227,0.276472,2.87435,0.307691,,-1.07801,116.207,46.1934,170.974,-1.07801,-0.22,47.52750754356384,-12.83008262515068,5.64407,17.09000015258789,,,,,,,1028.3,7.451449275,1028.3,7.451449275,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Cal Raleigh","SEA",141.874,572.311,506.216,111.311,58.079,22.2337,0.786181,30.2117,66.0008,86.5928,56.5394,2.04319,161.545,4.67747,4.45823,0.419714,6.69354,2.84384,0.695209,0.219887,0.0987914,0.282269,0.349991,0.301679,0.445959,0.321482,0.747638,0.226072,2.92009,0.254294,,-0.638203,72.1542,5.20637,116.307,-0.638203,16.44,10.040308833122253,23.592084407806396,5.44384,85.93000030517578,,,,,,,656,4.619718309,656,4.619718309,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Corey Seager","TEX",126.518,549.241,483.491,136.536,77.8479,27.0317,0.917167,30.7397,76.0949,86.7805,54.0591,7.50248,94.0329,4.69715,4.22022,0.442666,10.6239,1.19613,0.531654,0.282397,0.0984252,0.171205,0.574896,0.357373,0.532836,0.37568,0.890209,0.250439,2.47992,0.2915,,-0.995022,93.2045,28.9554,148.069,-0.995022,0.33,29.213708221912384,4.18481382727623,5.34026,47.40999984741211,,,,,,,835.7,6.58031496,835.7,6.58031496,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",148.003,619.887,545.73,143.643,93.3709,27.3945,1.52938,21.3485,74.6876,82.8238,64.5403,2.21863,134.41,5.40297,3.31575,0.89835,15.1487,5.45737,1.61081,0.263213,0.104116,0.216831,0.480173,0.345057,0.436374,0.340026,0.781431,0.17316,3.65674,0.310956,,-0.832351,87.4044,14.8912,118.155,-0.832351,10.27,12.625398457050323,15.979992866516113,5.08625,24.43000030517578,,,,,,,761.4,5.144594594,761.4,5.144594594,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
