Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,558,156,80,27,0,49,114,124,116,15,178,6,5,1,,8,2,0.279054,0.169327,0.258891,0.654046,0.405879,0.591781,0.41616,0.99766,0.312727,3.53965,0.317389,0.073951,-0.430584,138.762,58.5155,176.52,-0.356633,-2.85438,59.705656945705414,-11.404383659362793,7.35022,3.1600000858306885,,,,,,,1230.1,7.736477987,1230.1,7.736477987,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,623,182,107,37,8,31,108,101,50,5,111,7,6,1,,32,11,0.292712,0.0728782,0.161738,0.450593,0.348553,0.525069,0.369756,0.873621,0.232356,7.13304,0.31144,1.41685,0.742133,113.142,32.8946,139.416,2.15899,4.067,33.09775900840759,11.416999816894531,6.95916,1.6200000047683716,,,,,,,1041.5,6.550314465,1041.5,6.550314465,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",157,679,592,163,95,30,6,32,109,95,75,1,150,6,5,1,,17,4,0.275111,0.109753,0.220713,0.497267,0.359511,0.507015,0.371482,0.866526,0.231904,6.22875,0.316015,1.19585,0.306275,112.93,33.5022,147.723,1.50212,-2.96633,38.57905912399292,4.058666467666626,6.7412,7.659999847412109,,,,,,,1006.9,6.413375796,1006.9,6.413375796,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",159,686,542,152,87,27,2,35,113,100,135,7,112,4,4,1,,8,4,0.279948,0.196634,0.16388,1.19987,0.423719,0.530833,0.408444,0.954552,0.250885,3.80784,0.293175,-1.24115,-1.58149,134.503,54.2556,168.091,-2.82265,-3.87815,53.03419613838196,-12.228154420852661,6.57368,7.519999980926514,,,,,,,1148.9,7.225786163,1148.9,7.225786163,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",157,679,618,172,112,29,2,29,96,92,48,3,159,9,3,1,,28,7,0.278711,0.0703654,0.234067,0.30062,0.337319,0.473823,0.34871,0.811142,0.195112,5.59762,0.32992,0.971788,1.29177,100.485,21.057,135.46,2.26356,5.22708,29.812817811965942,7.452084302902222,6.18631,13.399999618530273,,,,,,,917.9,5.846496815,917.9,5.846496815,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",157,679,583,164,98,34,3,29,109,94,84,3,94,7,5,1,,15,4,0.28072,0.123096,0.138322,0.889924,0.374253,0.496395,0.374116,0.870648,0.215675,5.31057,0.290271,0.337805,0.145904,114.37,34.9417,143.171,0.483709,-7.02447,35.53643599152565,-0.14946937561035156,5.98994,12.739999771118164,,,,,,,1014,6.458598726,1014,6.458598726,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",159,686,607,157,95,31,3,28,100,89,63,2,130,10,5,2,,23,5,0.259291,0.0912817,0.189687,0.481223,0.336523,0.457946,0.343291,0.794469,0.198655,5.91281,0.285299,0.574581,1.30233,98.5291,18.2821,124.238,1.87691,5.46682,21.760287642478943,12.566822052001953,5.90455,14.600000381469727,,,,,,,891.1,5.604402515,891.1,5.604402515,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Shohei Ohtani","LAD",151,651,561,160,84,30,5,42,119,116,79,10,150,5,4,1,,36,6,0.285788,0.122094,0.230813,0.528973,0.376933,0.581017,0.400997,0.95795,0.295229,7.06216,0.317304,0.299346,3.38141,123.738,47.5855,161.264,3.68076,0,51.372666120529175,-16.274999618530273,5.86376,1.5299999713897705,,,,,,,1148.9,7.608609271,1148.9,7.608609271,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",152,658,590,164,91,34,1,37,104,101,57,1,141,7,3,1,,19,4,0.277662,0.0866308,0.214183,0.404472,0.346336,0.529328,0.373622,0.875664,0.251665,5.2141,0.305037,0.951264,0.984737,110.571,33.5991,144.816,1.936,4.9441,37.199397921562195,-2.505897045135498,5.84609,11.140000343322754,,,,,,,997.4,6.561842105,997.4,6.561842105,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Yordan Alvarez","HOU",141,609,522,157,88,32,2,36,94,104,73,11,104,10,5,0,,3,1,0.301755,0.119128,0.170049,0.700547,0.393955,0.576586,0.407157,0.970541,0.274831,3.4315,0.314471,-0.56005,-0.81678,118.774,47.5347,171.738,-1.37683,-0.0768717,48.61214601993561,-13.00187187641859,5.77442,17.09000015258789,,,,,,,1051.7,7.458865248,1051.7,7.458865248,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
