Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,559,158,80,28,0,50,110,134,118,15,178,5,4,0,,9,1,0.282398,0.171654,0.259843,0.660606,0.409449,0.599613,0.420632,1.00906,0.317215,3.24695,0.322581,0,-0.192607,141.232,60.985,179.666,-0.192607,-6.05321,62.33924566209316,-14.6032133102417,7.29184,3.1600000858306885,,,,,,,1260.3,7.926415094,1260.3,7.926415094,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",159,686,539,149,87,27,2,34,110,102,140,8,111,3,4,0,,7,4,0.276515,0.203869,0.162202,1.25688,0.425595,0.520833,0.405778,0.946429,0.244318,3.54446,0.289744,0,-1.97295,133.03,52.7833,166.296,-1.97295,-3.47021,52.41162931919098,-11.820210933685303,6.55152,7.519999980926514,,,,,,,1135.8,7.143396226,1135.8,7.143396226,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,651,564,164,84,32,5,43,122,133,79,10,150,5,4,0,,40,5,0.290323,0.120588,0.230882,0.522293,0.379412,0.59253,0.406549,0.971942,0.302207,7.3491,0.322251,0,4.85638,126.647,50.4943,165,4.85638,0,55.457101345062256,-16.274999618530273,6.28559,1.5299999713897705,,,,,,,1193.9,7.906622516,1193.9,7.906622516,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR",159,686,623,180,105,37,8,30,107,105,49,5,115,6,7,0,,29,11,0.288303,0.0718563,0.167665,0.428571,0.342814,0.517298,0.36381,0.860113,0.228995,6.96108,0.308668,0,-0.0480877,109.859,29.6117,135.234,-0.0480877,2.92453,27.60783426463604,10.274526119232178,6.27418,1.6200000047683716,,,,,,,1009.2,6.347169811,1009.2,6.347169811,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",157,679,593,163,97,30,7,29,110,100,75,1,155,6,5,0,,16,4,0.274306,0.110606,0.228788,0.483444,0.359091,0.494792,0.366793,0.853883,0.220486,6.52696,0.323383,0,0.228882,110.368,30.9397,144.425,0.228882,-4.19495,34.7433515638113,2.830052375793457,6.21817,7.659999847412109,,,,,,,981.5,6.251592356,981.5,6.251592356,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Francisco Lindor","NYM",159,686,607,158,95,31,3,28,101,97,63,2,130,10,5,1,,22,4,0.260345,0.0914634,0.189024,0.483871,0.337405,0.462069,0.344793,0.799474,0.201724,5.92376,0.285714,0,1.38568,99.3585,19.1115,125.249,1.38568,7.90973,22.098434448242188,15.00973129272461,6.19177,14.600000381469727,,,,,,,897.6,5.645283018,897.6,5.645283018,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",157,679,622,174,116,28,2,28,96,95,47,3,162,8,2,0,,28,7,0.280672,0.0692308,0.238462,0.290323,0.338462,0.468908,0.347704,0.807369,0.188235,5.62554,0.337349,0,1.35202,99.9353,20.5072,134.752,1.35202,5.6363,28.351474404335022,7.861295461654663,6.07765,13.399999618530273,,,,,,,906.8,5.775796178,906.8,5.775796178,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",152,658,591,163,90,35,1,37,105,104,58,1,144,6,3,0,,20,4,0.276231,0.0884615,0.219231,0.403509,0.346154,0.526767,0.372575,0.87292,0.250535,5.33597,0.306748,0,1.30334,110.016,33.0448,144.112,1.30334,7.4115,36.012407660484314,-0.03849983215332031,5.97833,11.140000343322754,,,,,,,995.6,6.55,995.6,6.55,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",157,679,578,163,98,35,2,28,110,100,88,3,94,7,6,0,,15,3,0.282565,0.129693,0.138225,0.938272,0.380546,0.49499,0.376633,0.875536,0.212425,5.03791,0.293233,0,0.105006,115.745,36.317,144.865,0.105006,-9.45083,36.533064380288124,-2.5758304595947266,5.84228,12.739999771118164,,,,,,,1016,6.471337579,1016,6.471337579,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Yordan Alvarez","HOU",141,609,523,157,86,33,2,36,92,105,72,11,103,10,5,0,,3,0,0.30038,0.117455,0.169657,0.692308,0.391517,0.576046,0.405831,0.967563,0.275665,3.43911,0.31202,0,-0.642781,118.124,46.8848,170.806,-0.642781,0,48.696277022361755,-12.925000190734863,5.79105,17.09000015258789,,,,,,,1053.4,7.470921985,1053.4,7.470921985,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"José Ramírez","CLE",156,672,597,161,90,38,3,30,98,103,65,17,81,3,7,0,,28,5,0.270364,0.0969231,0.12,0.807692,0.341538,0.495667,0.349971,0.837206,0.225303,6.01668,0.266247,0,2.37134,100.131,21.522,131.211,2.37134,4.31892,26.36945867538452,6.118920207023621,5.6689,4.96999979019165,,,,,,,957.1,6.13525641,957.1,6.13525641,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Cal Raleigh","SEA",146,584,518,119,63,24,1,31,72,89,57,2,158,4,4,0,,3,1,0.230277,0.0982987,0.270321,0.363636,0.310019,0.460554,0.330496,0.770573,0.230277,3.08592,0.264901,0,-0.751618,77.8385,9.54671,122.648,-0.751618,9.9792,14.377086102962494,17.329200267791748,5.28447,85.93000030517578,,,,,,,701,4.801369863,701,4.801369863,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Ronald Acuña Jr.","ATL",128,553,471,139,84,26,2,26,106,78,70,2,104,9,3,0,,36,8,0.293991,0.126143,0.1883,0.669903,0.393053,0.525751,0.39435,0.918804,0.23176,6.88374,0.326471,0,2.73472,102.152,37.4635,153.898,2.73472,-1.10455,38.376654624938965,-7.429545283317566,5.09805,35.279998779296875,,,,,,,921.6,7.2,921.6,7.2,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Trea Turner","PHI",156,672,622,179,120,33,2,24,101,85,41,1,129,6,3,0,,24,3,0.287273,0.0606061,0.191919,0.315789,0.335017,0.461818,0.343647,0.796835,0.174545,5.92479,0.327751,0,2.07334,96.7107,18.1015,120.375,2.07334,0.464239,18.446157217025757,7.664238631725311,5.0078,24.399999618530273,,,,,,,891.3,5.713461538,891.3,5.713461538,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Corey Seager","TEX",126,546,482,136,81,26,1,28,74,83,55,9,93,5,4,0,,1,1,0.281314,0.101449,0.17029,0.595745,0.358696,0.511294,0.368112,0.869989,0.229979,2.31274,0.295393,0,-1.24887,89.329,25.459,142.746,-1.24887,0.9,25.456085085868835,4.7499998807907104,4.99939,47.40999984741211,,,,,,,803,6.373015873,803,6.373015873,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Michael Harris II","ATL",143,616,573,168,110,32,4,22,86,82,33,2,123,7,3,0,,16,6,0.293666,0.0535714,0.2,0.267857,0.3375,0.479846,0.350392,0.817347,0.18618,5.60403,0.339286,0,-0.0908783,91.9958,19.9373,124.311,-0.0908783,7.70032,17.817342035472393,9.900321245193481,4.9812,40.380001068115234,,,,,,,823.8,5.76083916,823.8,5.76083916,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Elly De La Cruz","CIN",154,665,598,157,91,32,9,25,104,88,61,2,198,4,1,1,,54,13,0.262982,0.0918675,0.298193,0.308081,0.334842,0.472362,0.347151,0.807203,0.20938,8.63872,0.352,0,4.32599,97.579,19.7886,116.849,4.32599,1.0125,17.7241473197937,8.137500047683716,4.95803,4.590000152587891,,,,,,,921.5,5.983766233,921.5,5.983766233,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Austin Riley","ATL",157,679,606,166,98,34,2,33,96,99,56,1,165,10,7,0,,1,0,0.274583,0.0827815,0.243377,0.340136,0.342715,0.499072,0.360215,0.841788,0.22449,2.99906,0.322493,0,-1.06167,106.773,27.3449,130.923,-1.06167,-1.45916,24.046610593795776,0.9658428430557251,4.91848,29.829999923706055,,,,,,,943.7,6.010828025,943.7,6.010828025,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Jackson Merrill","SDP",154,665,615,173,114,30,6,23,85,94,39,2,110,1,6,4,,17,4,0.281081,0.0583333,0.165,0.353535,0.322148,0.461261,0.335251,0.783409,0.18018,5.72056,0.306818,0,0.331073,91.2098,13.4193,118.99,0.331073,6.6825,15.432399034500122,9.057499885559082,4.81636,26.360000610351562,,,,,,,832.3,5.404545454,832.3,5.404545454,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Bryce Harper","PHI",154,665,568,162,90,41,0,31,96,98,87,12,146,4,5,1,,9,4,0.284232,0.131206,0.219858,0.596774,0.380107,0.518672,0.380598,0.898779,0.23444,3.27762,0.330357,0,-0.876804,115.481,37.6903,145.245,-0.876804,0.675206,35.102787137031555,-11.399793684482574,4.73509,22.760000228881836,,,,,,,1028.4,6.677922077,1028.4,6.677922077,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Riley Greene","DET",151,651,576,154,97,29,6,23,90,82,68,2,166,5,2,0,,6,2,0.268,0.104425,0.254867,0.409722,0.348673,0.458,0.349073,0.806673,0.19,4.88915,0.337278,0,-1.09969,96.5315,20.3788,130.526,-1.09969,8.89021,21.638675570487976,2.215214252471924,4.70485,110.26000213623047,,,,,,,845.7,5.600662251,845.7,5.600662251,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
